ENV_ID,Value_1000_Seed_1,Value_1000_Seed_10,Value_1000_Seed_20,Value_1000_Seed_25,Value_1000_Seed_42,Value_5000_Seed_1,Value_5000_Seed_10,Value_5000_Seed_20,Value_5000_Seed_25,Value_5000_Seed_42,Value_10000_Seed_1,Value_10000_Seed_10,Value_10000_Seed_20,Value_10000_Seed_25,Value_10000_Seed_42,Value_25000_Seed_1,Value_25000_Seed_10,Value_25000_Seed_20,Value_25000_Seed_25,Value_25000_Seed_42,Value_50000_Seed_1,Value_50000_Seed_10,Value_50000_Seed_20,Value_50000_Seed_25,Value_50000_Seed_42
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8906000000000001,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0
5,0.9453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001
6,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,0.9922000000000001,0.9922000000000001,1.0,0.9766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,0.9688,0.9922000000000001,1.0,1.0,1.0,0.9922000000000001,1.0,0.9766,1.0,1.0,1.0,1.0,0.9844,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9609000000000001,0.9688,0.9922000000000001,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,0.9922000000000001,0.9688,1.0,1.0,1.0,0.9766,1.0,1.0,0.9922000000000001,1.0,1.0
9,0.9531000000000001,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9766,1.0,1.0,1.0,1.0,0.9766,1.0,1.0,0.9922000000000001
10,0.9609000000000001,0.0625,0.9922000000000001,0.9453,0.7031000000000001,1.0,1.0,1.0,0.9922000000000001,0.9922000000000001,1.0,1.0,0.9844,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,0.9922000000000001,1.0
11,0.8516,0.8359000000000001,0.9688,0.6953,0.1797,0.9844,1.0,0.9844,0.9922000000000001,0.9922000000000001,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,0.9922000000000001,0.9844,0.9922000000000001,1.0,0.9922000000000001,1.0
12,0.09380000000000001,0.10160000000000001,0.3047,0.0781,0.0781,0.9844,1.0,1.0,1.0,1.0,0.9766,0.9922000000000001,1.0,1.0,1.0,0.9766,1.0,1.0,1.0,0.9844,0.9844,1.0,0.9688,1.0,1.0
13,0.27340000000000003,0.1641,0.23440000000000003,0.1875,0.0625,0.9688,1.0,1.0,0.9766,0.9922000000000001,1.0,0.9844,0.9922000000000001,0.9844,0.9766,1.0,0.9688,1.0,1.0,0.9844,1.0,1.0,1.0,0.9766,1.0
14,0.0391,0.1641,0.5156000000000001,0.0859,0.0703,0.8281000000000001,0.9609000000000001,0.9922000000000001,0.9844,0.9766,0.9766,1.0,1.0,0.9844,0.9922000000000001,0.9766,1.0,1.0,1.0,1.0,1.0,0.9844,0.9922000000000001,1.0,0.9922000000000001
15,0.25,0.0625,0.8203,0.031200000000000002,0.054700000000000006,0.9922000000000001,1.0,0.9688,0.9922000000000001,0.9062,0.9766,1.0,0.9688,0.9922000000000001,0.9609000000000001,1.0,0.9844,1.0,1.0,0.9609000000000001,0.9766,0.9922000000000001,1.0,1.0,0.9766
