ENV_ID,Value_0.5_Seed_1,Value_0.5_Seed_10,Value_0.5_Seed_20,Value_0.5_Seed_25,Value_0.5_Seed_42,Value_0.6_Seed_1,Value_0.6_Seed_10,Value_0.6_Seed_20,Value_0.6_Seed_25,Value_0.6_Seed_42,Value_0.65_Seed_1,Value_0.65_Seed_10,Value_0.65_Seed_20,Value_0.65_Seed_25,Value_0.65_Seed_42,Value_0.75_Seed_1,Value_0.75_Seed_10,Value_0.75_Seed_20,Value_0.75_Seed_25,Value_0.75_Seed_42,Value_0.85_Seed_1,Value_0.85_Seed_10,Value_0.85_Seed_20,Value_0.85_Seed_25,Value_0.85_Seed_42,Value_0.9_Seed_1,Value_0.9_Seed_10,Value_0.9_Seed_20,Value_0.9_Seed_25,Value_0.9_Seed_42,Value_0.95_Seed_1,Value_0.95_Seed_10,Value_0.95_Seed_20,Value_0.95_Seed_25,Value_0.95_Seed_42,Value_0.999_Seed_1,Value_0.999_Seed_10,Value_0.999_Seed_20,Value_0.999_Seed_25,Value_0.999_Seed_42
0,1.0,1.0,0.9844,0.9922000000000001,0.9766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0078000000000000005,0.0,0.0,0.0,0.0
1,0.9766,0.9922000000000001,0.9609000000000001,0.9141,0.9844,1.0,1.0,0.9922000000000001,0.9922000000000001,1.0,0.9922000000000001,1.0,0.9844,0.9844,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015600000000000001
2,0.9609000000000001,0.9766,1.0,0.9688,0.9688,0.9922000000000001,0.9766,0.9766,0.9922000000000001,0.9922000000000001,0.9922000000000001,1.0,0.9922000000000001,1.0,0.9688,0.9922000000000001,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,0.0,0.0,0.0234,0.0,0.0078000000000000005
3,0.9609000000000001,0.9844,0.9844,0.9141,0.9453,0.9922000000000001,0.9922000000000001,1.0,0.9922000000000001,0.9688,0.9766,0.9922000000000001,0.9922000000000001,0.9844,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0078000000000000005,0.0078000000000000005,0.031200000000000002,0.0234,0.0
4,0.9219,0.9141,0.9453,0.9531000000000001,0.8828,0.9375,0.9844,0.9609000000000001,1.0,0.9531000000000001,0.9688,0.9922000000000001,0.9844,0.9766,1.0,0.9922000000000001,1.0,0.9922000000000001,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9766,1.0,1.0,1.0,0.9922000000000001,0.0078000000000000005,0.0078000000000000005,0.0078000000000000005,0.0078000000000000005,0.0
5,0.8828,0.7969,0.9219,0.9922000000000001,0.9141,1.0,0.9844,0.9766,0.9609000000000001,0.9766,0.9688,0.9688,0.9844,0.8516,0.9297000000000001,0.9922000000000001,1.0,0.9688,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,0.9688,0.015600000000000001,0.015600000000000001,0.015600000000000001,0.015600000000000001,0.015600000000000001
6,0.6641,0.7969,0.875,0.6953,0.8594,0.8984000000000001,0.9922000000000001,0.9688,0.9062,0.875,0.9609000000000001,0.9766,0.9531000000000001,0.9844,0.9375,0.9531000000000001,0.9922000000000001,0.9766,0.9844,0.9844,1.0,0.9922000000000001,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8516,0.9922000000000001,0.9766,0.9922000000000001,0.9531000000000001,0.015600000000000001,0.0,0.0078000000000000005,0.0078000000000000005,0.015600000000000001
7,0.6484,0.8906000000000001,0.7422000000000001,0.9062,0.8125,0.9922000000000001,0.9297000000000001,0.9219,0.9688,0.8906000000000001,0.875,0.8984000000000001,0.9531000000000001,0.9375,0.9609000000000001,0.9922000000000001,0.9766,0.9922000000000001,0.9453,0.9766,1.0,1.0,1.0,0.9688,1.0,1.0,1.0,1.0,1.0,1.0,0.8047000000000001,0.9688,0.9375,0.9922000000000001,0.9297000000000001,0.015600000000000001,0.0078000000000000005,0.015600000000000001,0.0234,0.0
8,0.7266,0.8203,0.6953,0.8047000000000001,0.6719,0.9609000000000001,0.8281000000000001,0.8594,0.7422000000000001,0.7578,0.8984000000000001,0.9375,0.9531000000000001,0.875,0.9141,0.9922000000000001,1.0,0.9453,0.9766,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,0.7969,0.9609000000000001,0.9062,0.9609000000000001,0.8906000000000001,0.0078000000000000005,0.015600000000000001,0.0234,0.0078000000000000005,0.0
9,0.6406000000000001,0.6016,0.5625,0.5938,0.5859,0.8594,0.8359000000000001,0.7266,0.8906000000000001,0.75,0.8984000000000001,0.8984000000000001,0.8438,0.8438,0.8438,0.9688,0.9766,0.9688,0.9766,0.9609000000000001,1.0,0.9766,0.9766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5312,0.9219,0.9766,0.9297000000000001,0.8125,0.0078000000000000005,0.015600000000000001,0.0078000000000000005,0.0078000000000000005,0.0234
10,0.6641,0.6562,0.6719,0.5781000000000001,0.5547000000000001,0.7734000000000001,0.7578,0.7109000000000001,0.8281000000000001,0.7266,0.8594,0.8438,0.8828,0.8359000000000001,0.9609000000000001,0.9922000000000001,0.9922000000000001,0.9453,0.9062,0.9922000000000001,0.9922000000000001,1.0,1.0,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,0.7812,0.9609000000000001,0.8984000000000001,0.9062,0.6094,0.0078000000000000005,0.0078000000000000005,0.015600000000000001,0.046900000000000004,0.0078000000000000005
11,0.5625,0.6875,0.7188,0.5625,0.5391,0.6641,0.7188,0.6875,0.6016,0.6562,0.8516,0.8047000000000001,0.8047000000000001,0.7734000000000001,0.9453,0.9688,0.9531000000000001,0.9688,0.9844,0.9922000000000001,0.9922000000000001,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,0.7578,0.8672000000000001,0.875,0.8438,0.875,0.015600000000000001,0.031200000000000002,0.0078000000000000005,0.031200000000000002,0.0
12,0.5625,0.4922,0.4844,0.5781000000000001,0.5859,0.5938,0.7422000000000001,0.6094,0.8047000000000001,0.6797000000000001,0.7891,0.7969,0.8203,0.7266,0.8672000000000001,1.0,0.9688,0.8984000000000001,0.9141,0.7734000000000001,1.0,0.9922000000000001,0.9766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6562,0.9297000000000001,0.875,0.7578,0.6641,0.0078000000000000005,0.0078000000000000005,0.0,0.015600000000000001,0.0
13,0.4531,0.4531,0.46090000000000003,0.4766,0.5312,0.6172000000000001,0.7266,0.4922,0.5703,0.6484,0.8984000000000001,0.7422000000000001,0.6719,0.7344,0.6719,0.9844,0.9844,0.8594,0.8984000000000001,0.9375,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,0.9844,0.5938,0.7656000000000001,0.8203,0.7422000000000001,0.6562,0.0078000000000000005,0.0234,0.015600000000000001,0.0078000000000000005,0.031200000000000002
14,0.5781000000000001,0.46090000000000003,0.5078,0.3906,0.5234,0.7188,0.6016,0.6172000000000001,0.5781000000000001,0.6016,0.75,0.75,0.6406000000000001,0.5938,0.6719,0.9297000000000001,0.875,0.8906000000000001,0.8281000000000001,0.7578,1.0,0.9766,0.9766,0.9922000000000001,0.9844,1.0,1.0,1.0,0.9922000000000001,1.0,0.4297,0.5938,0.7344,0.5859,0.44530000000000003,0.0078000000000000005,0.0078000000000000005,0.031200000000000002,0.0078000000000000005,0.046900000000000004
15,0.4062,0.4766,0.39840000000000003,0.39840000000000003,0.5312,0.6328,0.5625,0.6406000000000001,0.5938,0.5312,0.6172000000000001,0.7109000000000001,0.6562,0.6406000000000001,0.6484,0.8047000000000001,0.9609000000000001,0.8203,0.9688,0.9375,1.0,0.8906000000000001,0.9922000000000001,1.0,0.9297000000000001,0.9922000000000001,0.9766,1.0,1.0,1.0,0.4062,0.6484,0.6797000000000001,0.7109000000000001,0.5156000000000001,0.0078000000000000005,0.0625,0.0234,0.0,0.0
