ENV_ID,Value_4_Seed_1,Value_4_Seed_10,Value_4_Seed_20,Value_4_Seed_25,Value_4_Seed_42,Value_8_Seed_1,Value_8_Seed_10,Value_8_Seed_20,Value_8_Seed_25,Value_8_Seed_42,Value_16_Seed_1,Value_16_Seed_10,Value_16_Seed_20,Value_16_Seed_25,Value_16_Seed_42,Value_32_Seed_1,Value_32_Seed_10,Value_32_Seed_20,Value_32_Seed_25,Value_32_Seed_42,Value_64_Seed_1,Value_64_Seed_10,Value_64_Seed_20,Value_64_Seed_25,Value_64_Seed_42
0,1.0,1.0,1.0,0.9922000000000001,0.9844,1.0,1.0,1.0,0.9844,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0
1,0.3438,0.4531,0.4922,0.6406000000000001,0.6641,0.6875,0.8125,0.27340000000000003,0.875,0.27340000000000003,0.6328,0.7109000000000001,0.3672,0.7812,0.75,0.7031000000000001,0.5859,0.6641,0.8125,0.7031000000000001,0.2969,0.6328,0.0859,0.8438,0.5469
2,0.031200000000000002,0.0391,0.0625,0.046900000000000004,0.0859,0.0391,0.054700000000000006,0.1328,0.054700000000000006,0.046900000000000004,0.0703,0.054700000000000006,0.0625,0.0703,0.1328,0.0625,0.031200000000000002,0.0234,0.046900000000000004,0.0625,0.046900000000000004,0.054700000000000006,0.046900000000000004,0.0078000000000000005,0.031200000000000002
3,0.0234,0.0391,0.031200000000000002,0.015600000000000001,0.031200000000000002,0.0391,0.031200000000000002,0.046900000000000004,0.0391,0.0234,0.031200000000000002,0.0391,0.031200000000000002,0.0859,0.046900000000000004,0.0078000000000000005,0.0391,0.054700000000000006,0.0234,0.0781,0.0703,0.0234,0.0234,0.0391,0.015600000000000001
4,0.031200000000000002,0.031200000000000002,0.0234,0.054700000000000006,0.015600000000000001,0.054700000000000006,0.0391,0.0625,0.0391,0.0391,0.0391,0.054700000000000006,0.0391,0.054700000000000006,0.015600000000000001,0.015600000000000001,0.031200000000000002,0.054700000000000006,0.0391,0.0234,0.054700000000000006,0.0234,0.0703,0.031200000000000002,0.0234
5,0.046900000000000004,0.031200000000000002,0.0391,0.0234,0.0234,0.0078000000000000005,0.0391,0.031200000000000002,0.031200000000000002,0.0625,0.0391,0.031200000000000002,0.0391,0.0391,0.046900000000000004,0.046900000000000004,0.031200000000000002,0.0391,0.0234,0.031200000000000002,0.0234,0.0391,0.031200000000000002,0.031200000000000002,0.046900000000000004
6,0.046900000000000004,0.0234,0.0391,0.031200000000000002,0.0391,0.0625,0.0391,0.0234,0.046900000000000004,0.046900000000000004,0.054700000000000006,0.054700000000000006,0.046900000000000004,0.0234,0.0234,0.046900000000000004,0.0391,0.054700000000000006,0.046900000000000004,0.054700000000000006,0.0234,0.015600000000000001,0.0391,0.0234,0.046900000000000004
7,0.0391,0.054700000000000006,0.015600000000000001,0.046900000000000004,0.0781,0.031200000000000002,0.0234,0.046900000000000004,0.0078000000000000005,0.031200000000000002,0.0234,0.015600000000000001,0.0391,0.046900000000000004,0.0234,0.015600000000000001,0.031200000000000002,0.0234,0.0391,0.0234,0.0391,0.0234,0.031200000000000002,0.0,0.054700000000000006
8,0.0234,0.054700000000000006,0.031200000000000002,0.031200000000000002,0.0078000000000000005,0.015600000000000001,0.031200000000000002,0.0078000000000000005,0.0391,0.0391,0.0,0.0234,0.0625,0.031200000000000002,0.031200000000000002,0.0625,0.031200000000000002,0.031200000000000002,0.0234,0.0625,0.046900000000000004,0.0078000000000000005,0.0391,0.0391,0.046900000000000004
9,0.0625,0.031200000000000002,0.0234,0.0391,0.0391,0.031200000000000002,0.015600000000000001,0.0391,0.0234,0.0781,0.054700000000000006,0.015600000000000001,0.0391,0.046900000000000004,0.046900000000000004,0.015600000000000001,0.031200000000000002,0.046900000000000004,0.0234,0.0234,0.015600000000000001,0.0234,0.0234,0.0391,0.031200000000000002
10,0.0391,0.0391,0.015600000000000001,0.046900000000000004,0.0391,0.0391,0.031200000000000002,0.031200000000000002,0.0234,0.0234,0.0234,0.046900000000000004,0.0234,0.031200000000000002,0.015600000000000001,0.046900000000000004,0.0391,0.015600000000000001,0.0234,0.0391,0.054700000000000006,0.046900000000000004,0.0078000000000000005,0.054700000000000006,0.015600000000000001
