ENV_ID,Value_1000_Seed_1,Value_1000_Seed_10,Value_1000_Seed_20,Value_1000_Seed_25,Value_1000_Seed_42,Value_5000_Seed_1,Value_5000_Seed_10,Value_5000_Seed_20,Value_5000_Seed_25,Value_5000_Seed_42,Value_10000_Seed_1,Value_10000_Seed_10,Value_10000_Seed_20,Value_10000_Seed_25,Value_10000_Seed_42,Value_25000_Seed_1,Value_25000_Seed_10,Value_25000_Seed_20,Value_25000_Seed_25,Value_25000_Seed_42,Value_50000_Seed_1,Value_50000_Seed_10,Value_50000_Seed_20,Value_50000_Seed_25,Value_50000_Seed_42
0,0.9453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001
1,0.0703,0.0625,0.09380000000000001,0.0625,0.054700000000000006,0.125,0.2109,0.09380000000000001,0.10160000000000001,0.0703,0.3672,0.75,0.1562,0.44530000000000003,0.6328,0.8516,0.9375,0.7031000000000001,0.9766,0.8672000000000001,0.9062,0.9688,0.8594,0.9141,0.875
2,0.0391,0.031200000000000002,0.046900000000000004,0.046900000000000004,0.0625,0.0391,0.0391,0.0703,0.0859,0.0391,0.046900000000000004,0.0391,0.09380000000000001,0.0781,0.0703,0.0781,0.0859,0.031200000000000002,0.09380000000000001,0.0625,0.125,0.0625,0.10160000000000001,0.125,0.0859
3,0.015600000000000001,0.0391,0.054700000000000006,0.0391,0.054700000000000006,0.031200000000000002,0.0078000000000000005,0.0234,0.031200000000000002,0.0625,0.0391,0.125,0.054700000000000006,0.0703,0.046900000000000004,0.054700000000000006,0.10160000000000001,0.0625,0.015600000000000001,0.0391,0.0391,0.054700000000000006,0.0703,0.046900000000000004,0.054700000000000006
4,0.0234,0.0391,0.046900000000000004,0.054700000000000006,0.0391,0.0703,0.054700000000000006,0.054700000000000006,0.054700000000000006,0.031200000000000002,0.015600000000000001,0.0859,0.0625,0.031200000000000002,0.046900000000000004,0.0703,0.046900000000000004,0.015600000000000001,0.054700000000000006,0.054700000000000006,0.015600000000000001,0.046900000000000004,0.0781,0.0625,0.0078000000000000005
5,0.031200000000000002,0.046900000000000004,0.0703,0.0391,0.046900000000000004,0.0703,0.054700000000000006,0.0391,0.0781,0.046900000000000004,0.054700000000000006,0.046900000000000004,0.0781,0.046900000000000004,0.031200000000000002,0.0391,0.015600000000000001,0.046900000000000004,0.046900000000000004,0.0391,0.031200000000000002,0.046900000000000004,0.054700000000000006,0.0703,0.031200000000000002
6,0.031200000000000002,0.0078000000000000005,0.0234,0.0391,0.046900000000000004,0.031200000000000002,0.0391,0.046900000000000004,0.046900000000000004,0.0234,0.0391,0.0391,0.031200000000000002,0.015600000000000001,0.046900000000000004,0.0391,0.0625,0.031200000000000002,0.0234,0.0391,0.054700000000000006,0.046900000000000004,0.0391,0.0391,0.046900000000000004
7,0.046900000000000004,0.0391,0.0625,0.046900000000000004,0.0078000000000000005,0.054700000000000006,0.015600000000000001,0.046900000000000004,0.015600000000000001,0.0391,0.046900000000000004,0.0234,0.0781,0.046900000000000004,0.0703,0.0391,0.046900000000000004,0.0391,0.0234,0.0391,0.046900000000000004,0.0625,0.031200000000000002,0.054700000000000006,0.054700000000000006
8,0.046900000000000004,0.031200000000000002,0.054700000000000006,0.046900000000000004,0.015600000000000001,0.0391,0.054700000000000006,0.0234,0.0234,0.0,0.054700000000000006,0.015600000000000001,0.046900000000000004,0.0234,0.015600000000000001,0.0078000000000000005,0.0234,0.031200000000000002,0.031200000000000002,0.031200000000000002,0.015600000000000001,0.0078000000000000005,0.0234,0.0391,0.046900000000000004
9,0.054700000000000006,0.015600000000000001,0.046900000000000004,0.0625,0.0391,0.0391,0.015600000000000001,0.0234,0.031200000000000002,0.0078000000000000005,0.0391,0.046900000000000004,0.0234,0.0391,0.031200000000000002,0.031200000000000002,0.0391,0.0625,0.0391,0.015600000000000001,0.0234,0.054700000000000006,0.0391,0.0234,0.031200000000000002
10,0.031200000000000002,0.054700000000000006,0.0391,0.031200000000000002,0.046900000000000004,0.015600000000000001,0.0391,0.0234,0.0625,0.0234,0.054700000000000006,0.031200000000000002,0.0234,0.046900000000000004,0.0078000000000000005,0.0391,0.046900000000000004,0.0703,0.031200000000000002,0.0391,0.046900000000000004,0.031200000000000002,0.054700000000000006,0.031200000000000002,0.046900000000000004
