ENV_ID,Value_0.01_Seed_1,Value_0.01_Seed_10,Value_0.01_Seed_20,Value_0.01_Seed_25,Value_0.01_Seed_42,Value_0.1_Seed_1,Value_0.1_Seed_10,Value_0.1_Seed_20,Value_0.1_Seed_25,Value_0.1_Seed_42,Value_0.2_Seed_1,Value_0.2_Seed_10,Value_0.2_Seed_20,Value_0.2_Seed_25,Value_0.2_Seed_42,Value_0.3_Seed_1,Value_0.3_Seed_10,Value_0.3_Seed_20,Value_0.3_Seed_25,Value_0.3_Seed_42
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9375,0.8672000000000001,0.8438,0.9375,0.8672000000000001,0.9688,0.8594,0.9219,0.9062,0.9062,0.9375,0.8125,0.9297000000000001,0.9219,0.9453,0.9062,0.9453,0.8672000000000001,0.9531000000000001,0.9141
2,0.125,0.1562,0.125,0.0625,0.1328,0.09380000000000001,0.125,0.0859,0.09380000000000001,0.0859,0.125,0.125,0.09380000000000001,0.0859,0.11720000000000001,0.0859,0.11720000000000001,0.09380000000000001,0.09380000000000001,0.09380000000000001
3,0.0781,0.046900000000000004,0.0078000000000000005,0.046900000000000004,0.046900000000000004,0.0859,0.054700000000000006,0.0859,0.046900000000000004,0.0234,0.0391,0.0703,0.054700000000000006,0.0781,0.0391,0.054700000000000006,0.0391,0.0625,0.054700000000000006,0.031200000000000002
4,0.046900000000000004,0.0391,0.046900000000000004,0.0234,0.031200000000000002,0.015600000000000001,0.0703,0.0781,0.0391,0.0391,0.0625,0.0391,0.054700000000000006,0.0391,0.031200000000000002,0.0234,0.0625,0.046900000000000004,0.0234,0.0703
5,0.031200000000000002,0.09380000000000001,0.046900000000000004,0.046900000000000004,0.031200000000000002,0.0234,0.0234,0.0781,0.0625,0.0391,0.0391,0.054700000000000006,0.0391,0.015600000000000001,0.054700000000000006,0.046900000000000004,0.0625,0.0391,0.0391,0.031200000000000002
6,0.031200000000000002,0.046900000000000004,0.031200000000000002,0.0625,0.0391,0.031200000000000002,0.046900000000000004,0.046900000000000004,0.031200000000000002,0.0234,0.0234,0.046900000000000004,0.0391,0.0625,0.0391,0.0391,0.0391,0.054700000000000006,0.054700000000000006,0.0625
7,0.0625,0.015600000000000001,0.0703,0.0625,0.0391,0.046900000000000004,0.031200000000000002,0.031200000000000002,0.0625,0.054700000000000006,0.0391,0.0391,0.054700000000000006,0.015600000000000001,0.054700000000000006,0.0078000000000000005,0.031200000000000002,0.0234,0.0781,0.0391
8,0.054700000000000006,0.0078000000000000005,0.046900000000000004,0.0391,0.031200000000000002,0.0391,0.015600000000000001,0.0391,0.031200000000000002,0.031200000000000002,0.0234,0.031200000000000002,0.0391,0.0391,0.046900000000000004,0.0391,0.046900000000000004,0.031200000000000002,0.0234,0.031200000000000002
9,0.031200000000000002,0.0234,0.0391,0.0234,0.015600000000000001,0.0859,0.054700000000000006,0.0078000000000000005,0.046900000000000004,0.015600000000000001,0.015600000000000001,0.031200000000000002,0.0234,0.031200000000000002,0.054700000000000006,0.015600000000000001,0.031200000000000002,0.046900000000000004,0.0703,0.0391
10,0.031200000000000002,0.0391,0.015600000000000001,0.0234,0.031200000000000002,0.031200000000000002,0.046900000000000004,0.015600000000000001,0.015600000000000001,0.0391,0.015600000000000001,0.0234,0.0234,0.0391,0.0234,0.0234,0.031200000000000002,0.015600000000000001,0.0234,0.015600000000000001
