ENV_ID,Value_0.5_Seed_1,Value_0.5_Seed_10,Value_0.5_Seed_20,Value_0.5_Seed_25,Value_0.5_Seed_42,Value_0.6_Seed_1,Value_0.6_Seed_10,Value_0.6_Seed_20,Value_0.6_Seed_25,Value_0.6_Seed_42,Value_0.65_Seed_1,Value_0.65_Seed_10,Value_0.65_Seed_20,Value_0.65_Seed_25,Value_0.65_Seed_42,Value_0.75_Seed_1,Value_0.75_Seed_10,Value_0.75_Seed_20,Value_0.75_Seed_25,Value_0.75_Seed_42,Value_0.85_Seed_1,Value_0.85_Seed_10,Value_0.85_Seed_20,Value_0.85_Seed_25,Value_0.85_Seed_42,Value_0.9_Seed_1,Value_0.9_Seed_10,Value_0.9_Seed_20,Value_0.9_Seed_25,Value_0.9_Seed_42,Value_0.95_Seed_1,Value_0.95_Seed_10,Value_0.95_Seed_20,Value_0.95_Seed_25,Value_0.95_Seed_42,Value_0.999_Seed_1,Value_0.999_Seed_10,Value_0.999_Seed_20,Value_0.999_Seed_25,Value_0.999_Seed_42
0,0.8828,0.7969,0.9219,0.9922000000000001,0.9141,1.0,0.9844,0.9766,0.9609000000000001,0.9766,0.9688,0.9688,0.9844,0.8516,0.9297000000000001,0.9922000000000001,1.0,0.9688,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,0.9688,0.015600000000000001,0.015600000000000001,0.015600000000000001,0.015600000000000001,0.015600000000000001
1,0.6641,0.6875,0.7891,0.6641,0.7969,0.8438,0.8984000000000001,0.8984000000000001,0.9062,0.8594,0.8438,0.8438,0.9141,0.9219,0.8594,0.9844,0.9844,0.9844,0.9922000000000001,0.9688,0.9844,0.9844,0.9844,1.0,0.9844,0.9062,0.9453,0.8672000000000001,0.9531000000000001,0.9141,0.125,0.11720000000000001,0.015600000000000001,0.1797,0.1328,0.0234,0.0234,0.015600000000000001,0.046900000000000004,0.0078000000000000005
2,0.2969,0.4219,0.32030000000000003,0.38280000000000003,0.5312,0.38280000000000003,0.4375,0.2031,0.5859,0.4766,0.3438,0.46880000000000005,0.5469,0.6172000000000001,0.38280000000000003,0.2109,0.3125,0.3047,0.6016,0.3672,0.1406,0.1484,0.2656,0.125,0.1328,0.0859,0.11720000000000001,0.09380000000000001,0.09380000000000001,0.09380000000000001,0.031200000000000002,0.0781,0.054700000000000006,0.09380000000000001,0.031200000000000002,0.031200000000000002,0.0391,0.031200000000000002,0.0078000000000000005,0.0234
3,0.0703,0.046900000000000004,0.046900000000000004,0.0391,0.046900000000000004,0.0781,0.10160000000000001,0.1641,0.0781,0.0391,0.0781,0.0625,0.0781,0.054700000000000006,0.09380000000000001,0.0703,0.0781,0.054700000000000006,0.046900000000000004,0.0859,0.0234,0.0625,0.0703,0.09380000000000001,0.09380000000000001,0.054700000000000006,0.0391,0.0625,0.054700000000000006,0.031200000000000002,0.046900000000000004,0.031200000000000002,0.046900000000000004,0.054700000000000006,0.0234,0.0234,0.015600000000000001,0.0391,0.0391,0.0391
4,0.0781,0.0234,0.031200000000000002,0.0391,0.0391,0.0391,0.054700000000000006,0.031200000000000002,0.0234,0.0234,0.046900000000000004,0.0703,0.0625,0.0703,0.0391,0.0391,0.0625,0.046900000000000004,0.054700000000000006,0.046900000000000004,0.0703,0.0391,0.054700000000000006,0.0625,0.0859,0.0234,0.0625,0.046900000000000004,0.0234,0.0703,0.0078000000000000005,0.031200000000000002,0.0391,0.031200000000000002,0.0391,0.0391,0.0703,0.0391,0.031200000000000002,0.015600000000000001
5,0.0391,0.046900000000000004,0.0234,0.031200000000000002,0.046900000000000004,0.0625,0.0391,0.0703,0.031200000000000002,0.015600000000000001,0.0781,0.0703,0.0703,0.031200000000000002,0.0234,0.054700000000000006,0.0234,0.031200000000000002,0.0078000000000000005,0.046900000000000004,0.046900000000000004,0.046900000000000004,0.0234,0.046900000000000004,0.015600000000000001,0.046900000000000004,0.0625,0.0391,0.0391,0.031200000000000002,0.031200000000000002,0.046900000000000004,0.0625,0.054700000000000006,0.0234,0.015600000000000001,0.0391,0.054700000000000006,0.0234,0.0391
6,0.0391,0.015600000000000001,0.0625,0.0234,0.0391,0.046900000000000004,0.0078000000000000005,0.054700000000000006,0.046900000000000004,0.0625,0.0625,0.054700000000000006,0.015600000000000001,0.0625,0.0391,0.0625,0.046900000000000004,0.031200000000000002,0.046900000000000004,0.0234,0.0391,0.0391,0.0859,0.031200000000000002,0.031200000000000002,0.0391,0.0391,0.054700000000000006,0.054700000000000006,0.0625,0.0234,0.0234,0.046900000000000004,0.054700000000000006,0.046900000000000004,0.0625,0.015600000000000001,0.0078000000000000005,0.0234,0.0234
7,0.0391,0.0391,0.031200000000000002,0.0078000000000000005,0.0391,0.0234,0.046900000000000004,0.0391,0.015600000000000001,0.031200000000000002,0.031200000000000002,0.0625,0.0391,0.0391,0.031200000000000002,0.0234,0.0625,0.0625,0.031200000000000002,0.015600000000000001,0.031200000000000002,0.0703,0.015600000000000001,0.0391,0.0234,0.0078000000000000005,0.031200000000000002,0.0234,0.0781,0.0391,0.031200000000000002,0.046900000000000004,0.0234,0.0234,0.0391,0.0391,0.046900000000000004,0.046900000000000004,0.0625,0.0391
8,0.015600000000000001,0.046900000000000004,0.0234,0.031200000000000002,0.0078000000000000005,0.0234,0.0391,0.0391,0.054700000000000006,0.0391,0.046900000000000004,0.031200000000000002,0.046900000000000004,0.054700000000000006,0.015600000000000001,0.031200000000000002,0.0625,0.0078000000000000005,0.054700000000000006,0.054700000000000006,0.015600000000000001,0.054700000000000006,0.0391,0.031200000000000002,0.0234,0.0391,0.046900000000000004,0.031200000000000002,0.0234,0.031200000000000002,0.0234,0.0391,0.0234,0.0234,0.046900000000000004,0.054700000000000006,0.0234,0.0078000000000000005,0.0078000000000000005,0.0078000000000000005
9,0.031200000000000002,0.031200000000000002,0.015600000000000001,0.0391,0.015600000000000001,0.046900000000000004,0.031200000000000002,0.0391,0.0391,0.031200000000000002,0.031200000000000002,0.0234,0.031200000000000002,0.054700000000000006,0.0234,0.0234,0.0234,0.031200000000000002,0.031200000000000002,0.0391,0.015600000000000001,0.015600000000000001,0.0078000000000000005,0.054700000000000006,0.0234,0.015600000000000001,0.031200000000000002,0.046900000000000004,0.0703,0.0391,0.031200000000000002,0.054700000000000006,0.0703,0.0234,0.0234,0.015600000000000001,0.031200000000000002,0.0234,0.054700000000000006,0.015600000000000001
