ENV_ID,Value_10_Seed_1,Value_10_Seed_10,Value_10_Seed_20,Value_10_Seed_25,Value_10_Seed_42,Value_25_Seed_1,Value_25_Seed_10,Value_25_Seed_20,Value_25_Seed_25,Value_25_Seed_42,Value_50_Seed_1,Value_50_Seed_10,Value_50_Seed_20,Value_50_Seed_25,Value_50_Seed_42,Value_100_Seed_1,Value_100_Seed_10,Value_100_Seed_20,Value_100_Seed_25,Value_100_Seed_42,Value_200_Seed_1,Value_200_Seed_10,Value_200_Seed_20,Value_200_Seed_25,Value_200_Seed_42,Value_400_Seed_1,Value_400_Seed_10,Value_400_Seed_20,Value_400_Seed_25,Value_400_Seed_42,Value_800_Seed_1,Value_800_Seed_10,Value_800_Seed_20,Value_800_Seed_25,Value_800_Seed_42,Value_1600_Seed_1,Value_1600_Seed_10,Value_1600_Seed_20,Value_1600_Seed_25,Value_1600_Seed_42
0,0.054700000000000006,0.0391,0.0234,0.046900000000000004,0.0234,0.031200000000000002,0.0625,0.0625,0.054700000000000006,0.0234,0.054700000000000006,0.0625,0.0703,0.054700000000000006,0.0234,0.054700000000000006,0.054700000000000006,0.0234,0.046900000000000004,0.0078000000000000005,0.054700000000000006,0.0625,0.0703,0.10160000000000001,0.0703,0.0391,0.0391,0.0234,0.10160000000000001,0.0703,0.054700000000000006,0.0391,0.0234,0.054700000000000006,0.0234,0.031200000000000002,0.0234,0.0234,0.10160000000000001,0.0703
1,0.0625,0.054700000000000006,0.0625,0.015600000000000001,0.046900000000000004,0.0625,0.054700000000000006,0.0625,0.046900000000000004,0.0234,0.0625,0.054700000000000006,0.015600000000000001,0.015600000000000001,0.046900000000000004,0.0625,0.031200000000000002,0.015600000000000001,0.0078000000000000005,0.0234,0.031200000000000002,0.054700000000000006,0.031200000000000002,0.054700000000000006,0.046900000000000004,0.0625,0.0391,0.031200000000000002,0.046900000000000004,0.0234,0.0625,0.0391,0.031200000000000002,0.015600000000000001,0.0234,0.031200000000000002,0.054700000000000006,0.0391,0.054700000000000006,0.046900000000000004
2,0.0391,0.015600000000000001,0.0391,0.0234,0.046900000000000004,0.046900000000000004,0.0781,0.0391,0.0234,0.046900000000000004,0.0391,0.031200000000000002,0.0391,0.0234,0.046900000000000004,0.0234,0.031200000000000002,0.0234,0.0234,0.046900000000000004,0.031200000000000002,0.015600000000000001,0.0391,0.046900000000000004,0.046900000000000004,0.031200000000000002,0.0781,0.0234,0.046900000000000004,0.046900000000000004,0.046900000000000004,0.015600000000000001,0.0391,0.015600000000000001,0.046900000000000004,0.0391,0.0781,0.031200000000000002,0.0234,0.046900000000000004
3,0.0391,0.031200000000000002,0.015600000000000001,0.0234,0.0781,0.0391,0.0781,0.015600000000000001,0.0234,0.015600000000000001,0.0391,0.046900000000000004,0.015600000000000001,0.0234,0.015600000000000001,0.046900000000000004,0.0781,0.0703,0.0391,0.031200000000000002,0.046900000000000004,0.031200000000000002,0.0703,0.0391,0.031200000000000002,0.046900000000000004,0.031200000000000002,0.046900000000000004,0.0234,0.046900000000000004,0.046900000000000004,0.0781,0.0859,0.0234,0.0781,0.046900000000000004,0.0625,0.0703,0.0391,0.031200000000000002
4,0.0625,0.054700000000000006,0.0391,0.031200000000000002,0.0234,0.031200000000000002,0.0625,0.054700000000000006,0.015600000000000001,0.054700000000000006,0.054700000000000006,0.054700000000000006,0.054700000000000006,0.031200000000000002,0.046900000000000004,0.0391,0.0625,0.046900000000000004,0.031200000000000002,0.0391,0.031200000000000002,0.0781,0.054700000000000006,0.015600000000000001,0.0391,0.054700000000000006,0.054700000000000006,0.054700000000000006,0.015600000000000001,0.046900000000000004,0.0391,0.054700000000000006,0.046900000000000004,0.015600000000000001,0.0391,0.031200000000000002,0.0625,0.0391,0.015600000000000001,0.0391
5,0.015600000000000001,0.0703,0.054700000000000006,0.0391,0.0625,0.0391,0.031200000000000002,0.0391,0.046900000000000004,0.054700000000000006,0.015600000000000001,0.0391,0.0391,0.046900000000000004,0.0391,0.031200000000000002,0.031200000000000002,0.054700000000000006,0.015600000000000001,0.0625,0.031200000000000002,0.0703,0.0234,0.0391,0.046900000000000004,0.031200000000000002,0.0703,0.046900000000000004,0.015600000000000001,0.054700000000000006,0.015600000000000001,0.031200000000000002,0.0234,0.015600000000000001,0.0391,0.015600000000000001,0.031200000000000002,0.0234,0.046900000000000004,0.046900000000000004
6,0.0234,0.0391,0.015600000000000001,0.0234,0.0391,0.0391,0.046900000000000004,0.0625,0.031200000000000002,0.031200000000000002,0.0234,0.031200000000000002,0.046900000000000004,0.0234,0.0391,0.0078000000000000005,0.046900000000000004,0.0625,0.0234,0.015600000000000001,0.015600000000000001,0.0391,0.0625,0.0234,0.0391,0.015600000000000001,0.054700000000000006,0.046900000000000004,0.031200000000000002,0.015600000000000001,0.0078000000000000005,0.0391,0.0625,0.0234,0.031200000000000002,0.0078000000000000005,0.0391,0.046900000000000004,0.031200000000000002,0.0391
7,0.0391,0.0703,0.0234,0.015600000000000001,0.0391,0.0234,0.054700000000000006,0.0625,0.0391,0.0391,0.015600000000000001,0.054700000000000006,0.031200000000000002,0.0391,0.0391,0.0234,0.031200000000000002,0.0625,0.015600000000000001,0.0391,0.0391,0.054700000000000006,0.0234,0.0391,0.0391,0.054700000000000006,0.031200000000000002,0.0625,0.015600000000000001,0.0391,0.0391,0.015600000000000001,0.0625,0.015600000000000001,0.031200000000000002,0.054700000000000006,0.0703,0.0234,0.0391,0.0391
8,0.046900000000000004,0.0625,0.054700000000000006,0.031200000000000002,0.0391,0.0078000000000000005,0.054700000000000006,0.031200000000000002,0.054700000000000006,0.0234,0.046900000000000004,0.0625,0.031200000000000002,0.054700000000000006,0.0234,0.0391,0.054700000000000006,0.031200000000000002,0.031200000000000002,0.0391,0.0391,0.031200000000000002,0.031200000000000002,0.0234,0.0703,0.0391,0.054700000000000006,0.031200000000000002,0.031200000000000002,0.0703,0.046900000000000004,0.054700000000000006,0.031200000000000002,0.031200000000000002,0.0703,0.046900000000000004,0.054700000000000006,0.031200000000000002,0.031200000000000002,0.015600000000000001
9,0.015600000000000001,0.0234,0.031200000000000002,0.054700000000000006,0.015600000000000001,0.0391,0.0391,0.031200000000000002,0.031200000000000002,0.0391,0.0391,0.0391,0.031200000000000002,0.031200000000000002,0.015600000000000001,0.015600000000000001,0.0391,0.031200000000000002,0.054700000000000006,0.0703,0.015600000000000001,0.0234,0.031200000000000002,0.054700000000000006,0.0391,0.046900000000000004,0.046900000000000004,0.015600000000000001,0.0391,0.0703,0.046900000000000004,0.0391,0.015600000000000001,0.031200000000000002,0.015600000000000001,0.0391,0.046900000000000004,0.046900000000000004,0.0391,0.015600000000000001
10,0.031200000000000002,0.046900000000000004,0.046900000000000004,0.046900000000000004,0.0234,0.015600000000000001,0.031200000000000002,0.031200000000000002,0.046900000000000004,0.0391,0.015600000000000001,0.046900000000000004,0.031200000000000002,0.046900000000000004,0.054700000000000006,0.046900000000000004,0.046900000000000004,0.031200000000000002,0.015600000000000001,0.0391,0.046900000000000004,0.046900000000000004,0.0391,0.015600000000000001,0.0703,0.046900000000000004,0.054700000000000006,0.0391,0.046900000000000004,0.0703,0.031200000000000002,0.046900000000000004,0.0391,0.015600000000000001,0.054700000000000006,0.046900000000000004,0.054700000000000006,0.046900000000000004,0.046900000000000004,0.0391
