ENV_ID,Value_4_Seed_1,Value_4_Seed_10,Value_4_Seed_20,Value_4_Seed_25,Value_4_Seed_42,Value_8_Seed_1,Value_8_Seed_10,Value_8_Seed_20,Value_8_Seed_25,Value_8_Seed_42,Value_16_Seed_1,Value_16_Seed_10,Value_16_Seed_20,Value_16_Seed_25,Value_16_Seed_42,Value_32_Seed_1,Value_32_Seed_10,Value_32_Seed_20,Value_32_Seed_25,Value_32_Seed_42,Value_64_Seed_1,Value_64_Seed_10,Value_64_Seed_20,Value_64_Seed_25,Value_64_Seed_42
0,1.0,1.0,1.0,0.9922000000000001,0.9844,1.0,1.0,1.0,0.9844,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0
1,0.9922000000000001,1.0,1.0,0.9844,0.9844,1.0,0.9922000000000001,1.0,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,0.9922000000000001,0.9922000000000001,0.9844,0.9922000000000001,1.0,1.0,1.0
2,0.9922000000000001,0.9766,1.0,1.0,0.9453,1.0,1.0,0.9844,0.9922000000000001,1.0,1.0,1.0,0.9922000000000001,0.9922000000000001,0.9922000000000001,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,0.9922000000000001
3,0.9453,1.0,1.0,0.9922000000000001,1.0,0.9844,1.0,1.0,0.9766,1.0,1.0,1.0,1.0,0.9922000000000001,0.9922000000000001,1.0,1.0,1.0,1.0,0.9922000000000001,0.9922000000000001,0.9766,1.0,1.0,0.9922000000000001
4,1.0,0.9844,1.0,1.0,0.9688,0.9453,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,1.0,0.9922000000000001,0.9844
5,1.0,1.0,1.0,1.0,0.9688,0.9922000000000001,1.0,1.0,0.9844,0.9453,0.9922000000000001,0.9922000000000001,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,0.9922000000000001,0.9766,0.9844,0.9922000000000001,1.0,0.9766
6,0.9766,0.9766,0.9844,1.0,0.9688,0.9609000000000001,0.9922000000000001,0.9844,1.0,0.9922000000000001,1.0,1.0,1.0,0.9766,1.0,0.9766,0.9844,0.9844,1.0,0.9922000000000001,0.9922000000000001,1.0,0.9844,0.9922000000000001,1.0
7,0.9609000000000001,0.875,0.9219,0.9375,0.9141,0.9844,0.9609000000000001,0.9688,0.9688,1.0,1.0,0.9766,1.0,0.9844,1.0,1.0,0.9922000000000001,1.0,0.9688,1.0,0.9688,1.0,0.9922000000000001,1.0,1.0
8,0.9766,0.9766,0.9844,0.9922000000000001,0.9688,1.0,0.9766,0.9844,0.9844,0.9453,0.9844,1.0,1.0,0.9453,1.0,0.9922000000000001,0.9922000000000001,1.0,0.9922000000000001,0.9922000000000001,0.9844,0.9844,1.0,0.9531000000000001,1.0
9,0.8828,0.7656000000000001,0.8594,0.9141,0.9766,0.9922000000000001,1.0,0.9766,0.9922000000000001,1.0,0.9844,0.9766,0.9844,0.9922000000000001,0.9844,0.9297000000000001,0.9766,0.9922000000000001,0.9844,1.0,0.9297000000000001,0.9062,0.9531000000000001,0.9922000000000001,0.9688
10,0.9453,0.9453,0.8438,0.8906000000000001,0.9297000000000001,0.9531000000000001,0.9609000000000001,0.9531000000000001,0.9922000000000001,0.8672000000000001,0.9688,0.8828,0.9609000000000001,1.0,0.9219,0.9297000000000001,0.9688,1.0,0.9766,1.0,0.9766,0.9844,1.0,0.9688,0.9609000000000001
