ENV_ID,Value_1000_Seed_1,Value_1000_Seed_10,Value_1000_Seed_20,Value_1000_Seed_25,Value_1000_Seed_42,Value_5000_Seed_1,Value_5000_Seed_10,Value_5000_Seed_20,Value_5000_Seed_25,Value_5000_Seed_42,Value_10000_Seed_1,Value_10000_Seed_10,Value_10000_Seed_20,Value_10000_Seed_25,Value_10000_Seed_42,Value_25000_Seed_1,Value_25000_Seed_10,Value_25000_Seed_20,Value_25000_Seed_25,Value_25000_Seed_42,Value_50000_Seed_1,Value_50000_Seed_10,Value_50000_Seed_20,Value_50000_Seed_25,Value_50000_Seed_42
0,0.9453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001
1,0.9531000000000001,0.9922000000000001,0.9922000000000001,1.0,0.9922000000000001,0.9844,0.9844,1.0,0.9922000000000001,0.9922000000000001,1.0,0.9922000000000001,1.0,0.9766,1.0,0.9922000000000001,1.0,0.9922000000000001,0.9688,1.0,1.0,1.0,1.0,0.9922000000000001,1.0
2,0.9844,0.9922000000000001,0.9922000000000001,0.9922000000000001,0.9297000000000001,1.0,0.9844,1.0,0.9844,1.0,0.9844,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,0.9922000000000001
3,0.9844,0.9219,0.9453,0.9922000000000001,0.9766,0.9922000000000001,0.9766,0.9922000000000001,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,0.9922000000000001,0.9922000000000001,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0
4,0.9531000000000001,0.9844,0.9922000000000001,0.9844,1.0,0.9844,1.0,1.0,0.9375,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,0.9766,1.0,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9609000000000001,1.0,0.9766,0.9844,0.8984000000000001,0.9844,0.9844,1.0,1.0,0.9766,1.0,0.9844,0.9766,1.0,0.9766,1.0,0.9922000000000001,0.9766,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0
6,0.9688,0.9531000000000001,0.9375,0.9766,0.9766,0.9531000000000001,0.9844,1.0,0.9688,0.9688,1.0,0.9922000000000001,0.9766,1.0,1.0,0.9688,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,0.9844,1.0
7,0.9766,0.9531000000000001,0.9922000000000001,0.9062,0.9688,1.0,0.9844,1.0,0.9922000000000001,1.0,0.9922000000000001,1.0,1.0,0.9922000000000001,1.0,1.0,0.9766,0.9844,0.9922000000000001,1.0,1.0,0.9766,1.0,1.0,0.9922000000000001
8,0.9922000000000001,0.9609000000000001,0.9688,1.0,0.9922000000000001,0.9688,0.9844,0.9922000000000001,1.0,1.0,0.9453,0.9922000000000001,0.9688,0.9453,0.9688,0.9922000000000001,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,0.9688
9,0.9375,0.9766,0.9141,0.9453,0.9688,0.9922000000000001,1.0,0.9844,0.9609000000000001,0.9531000000000001,0.9922000000000001,0.9688,0.9688,0.9922000000000001,0.9766,0.9844,0.9766,1.0,0.9766,0.9922000000000001,0.9219,0.9844,0.9766,0.9688,1.0
10,0.9297000000000001,0.9609000000000001,0.9297000000000001,0.7109000000000001,0.9062,0.9375,0.9688,0.9609000000000001,0.9844,0.9688,0.9922000000000001,0.9922000000000001,1.0,0.9453,0.9609000000000001,1.0,0.9922000000000001,0.9766,0.9688,0.9922000000000001,0.9922000000000001,0.9922000000000001,0.9688,0.9297000000000001,0.9922000000000001
