ENV_ID,Value_0.01_Seed_1,Value_0.01_Seed_10,Value_0.01_Seed_20,Value_0.01_Seed_25,Value_0.01_Seed_42,Value_0.1_Seed_1,Value_0.1_Seed_10,Value_0.1_Seed_20,Value_0.1_Seed_25,Value_0.1_Seed_42,Value_0.2_Seed_1,Value_0.2_Seed_10,Value_0.2_Seed_20,Value_0.2_Seed_25,Value_0.2_Seed_42,Value_0.3_Seed_1,Value_0.3_Seed_10,Value_0.3_Seed_20,Value_0.3_Seed_25,Value_0.3_Seed_42
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001
2,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,0.9922000000000001
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,1.0,1.0,1.0,1.0
4,0.9531000000000001,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,0.9688,1.0,1.0,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,0.9922000000000001,1.0,1.0,0.9766,0.9922000000000001,1.0,0.9922000000000001,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,0.9844,1.0,0.9922000000000001,0.9922000000000001,0.9844
6,0.9844,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,0.9453,0.9844,1.0,1.0,1.0,0.9922000000000001,1.0,0.9922000000000001,1.0,1.0,1.0,1.0
7,1.0,0.9922000000000001,0.9531000000000001,1.0,1.0,0.9844,0.9844,1.0,0.9844,1.0,0.9922000000000001,0.9531000000000001,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,0.9844
8,1.0,1.0,0.9844,0.9609000000000001,1.0,1.0,1.0,0.9844,1.0,1.0,0.9922000000000001,0.9922000000000001,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,0.8828,1.0
9,0.9766,0.9766,0.9922000000000001,0.9688,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,0.9922000000000001,1.0,0.9688,1.0,1.0,1.0,0.9922000000000001
10,0.9922000000000001,0.9922000000000001,1.0,0.9531000000000001,0.9453,1.0,1.0,0.9844,0.9297000000000001,0.9922000000000001,0.9531000000000001,1.0,0.9844,1.0,0.9453,0.9922000000000001,1.0,0.9766,1.0,0.9688
