ENV_ID,Value_0.5_Seed_1,Value_0.5_Seed_10,Value_0.5_Seed_20,Value_0.5_Seed_25,Value_0.5_Seed_42,Value_0.6_Seed_1,Value_0.6_Seed_10,Value_0.6_Seed_20,Value_0.6_Seed_25,Value_0.6_Seed_42,Value_0.65_Seed_1,Value_0.65_Seed_10,Value_0.65_Seed_20,Value_0.65_Seed_25,Value_0.65_Seed_42,Value_0.75_Seed_1,Value_0.75_Seed_10,Value_0.75_Seed_20,Value_0.75_Seed_25,Value_0.75_Seed_42,Value_0.85_Seed_1,Value_0.85_Seed_10,Value_0.85_Seed_20,Value_0.85_Seed_25,Value_0.85_Seed_42,Value_0.9_Seed_1,Value_0.9_Seed_10,Value_0.9_Seed_20,Value_0.9_Seed_25,Value_0.9_Seed_42,Value_0.95_Seed_1,Value_0.95_Seed_10,Value_0.95_Seed_20,Value_0.95_Seed_25,Value_0.95_Seed_42,Value_0.999_Seed_1,Value_0.999_Seed_10,Value_0.999_Seed_20,Value_0.999_Seed_25,Value_0.999_Seed_42
0,0.8828,0.7969,0.9219,0.9922000000000001,0.9141,1.0,0.9844,0.9766,0.9609000000000001,0.9766,0.9688,0.9688,0.9844,0.8516,0.9297000000000001,0.9922000000000001,1.0,0.9688,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,0.9688,0.015600000000000001,0.015600000000000001,0.015600000000000001,0.015600000000000001,0.015600000000000001
1,0.7656000000000001,0.8047000000000001,0.75,0.6797000000000001,1.0,0.9297000000000001,0.8359000000000001,0.9688,0.9922000000000001,0.9141,0.9766,0.9688,0.9688,0.8203,0.9766,0.9766,0.9688,0.9688,0.9922000000000001,0.9922000000000001,1.0,0.9844,1.0,0.9766,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,0.9844,1.0,1.0,1.0,0.9922000000000001,0.0625,0.0625,0.0625,0.031200000000000002,0.0078000000000000005
2,0.5938,0.9062,0.7109000000000001,0.6953,0.7891,0.9844,0.9141,0.8906000000000001,0.7969,0.9531000000000001,0.9219,0.9688,0.9688,0.8672000000000001,0.9531000000000001,0.9609000000000001,0.9766,0.9531000000000001,1.0,0.9688,0.9766,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,0.9922000000000001,1.0,0.9922000000000001,1.0,1.0,0.9922000000000001,1.0,0.9766,0.015600000000000001,0.0234,0.054700000000000006,0.0391,0.0234
3,0.9219,0.8125,0.9531000000000001,0.8516,0.9062,0.9453,0.9062,0.9844,0.8516,0.8281000000000001,0.8672000000000001,0.8594,0.9531000000000001,0.8516,0.9922000000000001,0.9453,0.9922000000000001,1.0,0.9609000000000001,0.9844,1.0,1.0,0.9766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,0.9922000000000001,0.9922000000000001,1.0,0.9922000000000001,0.0234,0.0391,0.0391,0.031200000000000002,0.0234
4,0.5625,0.6172000000000001,0.8828,0.7891,0.7422000000000001,0.8984000000000001,0.7422000000000001,1.0,0.7812,1.0,0.9219,0.9688,0.9531000000000001,0.9922000000000001,0.8906000000000001,1.0,0.9844,0.9062,0.9141,0.8516,0.9375,0.9844,0.9922000000000001,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0078000000000000005,0.10940000000000001,0.0391,0.0703,0.0781
5,0.8984000000000001,0.7891,0.7734000000000001,0.5078,0.6484,0.8984000000000001,0.8594,0.8203,0.7344,0.9062,0.8438,0.9375,0.9375,0.8047000000000001,0.8984000000000001,0.9141,0.9609000000000001,0.9609000000000001,0.9297000000000001,0.9844,0.9844,1.0,0.9922000000000001,1.0,1.0,0.9844,1.0,0.9922000000000001,0.9922000000000001,0.9844,1.0,1.0,1.0,1.0,0.9922000000000001,0.09380000000000001,0.031200000000000002,0.10160000000000001,0.015600000000000001,0.0859
6,0.6016,0.6406000000000001,0.6797000000000001,0.6875,0.6094,0.8828,0.8984000000000001,0.9375,0.9141,0.8438,0.9297000000000001,0.9688,0.9453,0.8984000000000001,0.8359000000000001,0.9375,0.9922000000000001,0.9766,0.9531000000000001,1.0,0.9688,0.9688,0.9844,0.9766,0.9688,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0.9766,1.0,1.0,0.046900000000000004,0.031200000000000002,0.046900000000000004,0.0703,0.11720000000000001
7,0.6328,0.6719,0.6953,0.75,0.5625,0.8672000000000001,0.75,0.7031000000000001,0.5703,0.8828,0.7656000000000001,0.8906000000000001,0.6875,0.8438,0.9219,0.8203,0.8281000000000001,0.7969,0.6953,0.9688,1.0,1.0,0.9922000000000001,1.0,0.9453,1.0,0.9844,1.0,1.0,0.9844,1.0,0.9844,1.0,1.0,0.9844,0.0625,0.0703,0.11720000000000001,0.0234,0.031200000000000002
8,0.7109000000000001,0.7031000000000001,0.6875,0.8438,0.7422000000000001,0.8359000000000001,0.875,0.8828,0.6797000000000001,0.7891,0.7266,0.9297000000000001,0.7578,1.0,0.9453,0.9688,0.8047000000000001,0.9609000000000001,0.875,0.8516,0.9844,0.9375,1.0,0.9531000000000001,0.9766,0.9922000000000001,1.0,1.0,0.8828,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,0.10160000000000001,0.054700000000000006,0.11720000000000001,0.046900000000000004,0.0703
9,0.8125,0.7422000000000001,0.8281000000000001,0.4297,0.7734000000000001,0.8203,0.8516,0.8203,0.8594,0.7812,0.7891,0.7188,0.7344,0.9297000000000001,0.6562,0.9688,0.7891,0.8438,0.9375,0.875,0.9609000000000001,0.9922000000000001,0.9688,0.9609000000000001,1.0,0.9688,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,0.9922000000000001,0.9922000000000001,1.0,0.0625,0.0625,0.1641,0.046900000000000004,0.10940000000000001
