ENV_ID,Value_0.5_Seed_1,Value_0.5_Seed_10,Value_0.5_Seed_20,Value_0.5_Seed_25,Value_0.5_Seed_42,Value_0.6_Seed_1,Value_0.6_Seed_10,Value_0.6_Seed_20,Value_0.6_Seed_25,Value_0.6_Seed_42,Value_0.7_Seed_1,Value_0.7_Seed_10,Value_0.7_Seed_20,Value_0.7_Seed_25,Value_0.7_Seed_42,Value_0.8_Seed_1,Value_0.8_Seed_10,Value_0.8_Seed_20,Value_0.8_Seed_25,Value_0.8_Seed_42,Value_0.9_Seed_1,Value_0.9_Seed_10,Value_0.9_Seed_20,Value_0.9_Seed_25,Value_0.9_Seed_42,Value_1.0_Seed_1,Value_1.0_Seed_10,Value_1.0_Seed_20,Value_1.0_Seed_25,Value_1.0_Seed_42
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0.9766,0.9844,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0
2,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,0.9922000000000001,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,0.9688,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,0.9922000000000001,1.0,1.0,0.9766,0.9766,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9766,1.0,1.0,1.0,0.9844,1.0,1.0,0.9922000000000001,1.0,1.0
5,0.9922000000000001,1.0,1.0,1.0,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,0.9922000000000001,1.0,0.9844,1.0,1.0,1.0,1.0,0.9688,1.0,1.0,0.9844,1.0
6,1.0,0.9922000000000001,1.0,1.0,1.0,0.9844,1.0,1.0,0.9844,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,0.9922000000000001
7,0.9922000000000001,0.9766,0.9922000000000001,1.0,1.0,1.0,0.9766,1.0,1.0,0.9922000000000001,0.9844,1.0,0.9766,1.0,1.0,1.0,0.9922000000000001,0.9922000000000001,1.0,0.9922000000000001,1.0,1.0,0.9922000000000001,0.9844,1.0,0.9844,1.0,1.0,0.9297000000000001,1.0
8,0.9922000000000001,1.0,0.9844,0.9922000000000001,0.9922000000000001,1.0,1.0,1.0,0.9844,0.9688,1.0,1.0,0.9922000000000001,0.9844,0.9922000000000001,1.0,0.9844,1.0,0.9453,1.0,0.9688,0.9922000000000001,1.0,0.9844,0.9688,1.0,0.9844,0.9766,0.9844,1.0
9,0.9922000000000001,0.9922000000000001,0.9766,1.0,0.9844,0.9219,0.9844,0.9766,0.9688,1.0,1.0,0.9844,0.9844,0.9844,0.9766,0.9766,0.9375,1.0,0.9766,0.9609000000000001,0.9766,0.9922000000000001,0.9453,0.9766,0.9688,0.9922000000000001,0.9609000000000001,1.0,1.0,0.9922000000000001
10,1.0,0.9844,0.9688,1.0,0.9688,0.9922000000000001,0.9922000000000001,0.9688,0.9297000000000001,0.9922000000000001,0.9219,0.9609000000000001,0.9844,0.9922000000000001,1.0,0.9375,0.9766,0.9844,0.9922000000000001,1.0,0.9453,0.9922000000000001,1.0,0.9297000000000001,1.0,1.0,1.0,0.9766,0.9766,0.9062
