ENV_ID,Value_1e-05_Seed_1,Value_1e-05_Seed_10,Value_1e-05_Seed_20,Value_1e-05_Seed_25,Value_1e-05_Seed_42,Value_0.0001_Seed_1,Value_0.0001_Seed_10,Value_0.0001_Seed_20,Value_0.0001_Seed_25,Value_0.0001_Seed_42,Value_0.001_Seed_1,Value_0.001_Seed_10,Value_0.001_Seed_20,Value_0.001_Seed_25,Value_0.001_Seed_42,Value_0.01_Seed_1,Value_0.01_Seed_10,Value_0.01_Seed_20,Value_0.01_Seed_25,Value_0.01_Seed_42,Value_0.1_Seed_1,Value_0.1_Seed_10,Value_0.1_Seed_20,Value_0.1_Seed_25,Value_0.1_Seed_42
0,0.0,0.031200000000000002,0.0078000000000000005,0.031200000000000002,0.015600000000000001,0.0078000000000000005,0.054700000000000006,0.0,0.015600000000000001,0.0,0.0234,0.0078000000000000005,0.0078000000000000005,0.015600000000000001,0.031200000000000002,0.054700000000000006,0.0703,0.054700000000000006,0.0234,0.0391,0.0859,0.0625,0.0391,0.046900000000000004,0.054700000000000006
1,0.015600000000000001,0.046900000000000004,0.0234,0.0625,0.046900000000000004,0.046900000000000004,0.0234,0.015600000000000001,0.0234,0.046900000000000004,0.0234,0.0391,0.0703,0.046900000000000004,0.054700000000000006,0.125,0.054700000000000006,0.0859,0.054700000000000006,0.0703,0.0859,0.054700000000000006,0.09380000000000001,0.015600000000000001,0.054700000000000006
2,0.0234,0.1406,0.0859,0.031200000000000002,0.0391,0.0391,0.0,0.054700000000000006,0.031200000000000002,0.0625,0.0625,0.0234,0.0781,0.10160000000000001,0.11720000000000001,0.031200000000000002,0.09380000000000001,0.0703,0.0234,0.1328,0.10160000000000001,0.0859,0.11720000000000001,0.054700000000000006,0.0859
3,0.0234,0.0703,0.1953,0.10940000000000001,0.0859,0.031200000000000002,0.046900000000000004,0.031200000000000002,0.031200000000000002,0.054700000000000006,0.0625,0.046900000000000004,0.09380000000000001,0.0625,0.0781,0.10160000000000001,0.10940000000000001,0.09380000000000001,0.125,0.0781,0.0781,0.046900000000000004,0.1328,0.0781,0.10940000000000001
4,0.0781,0.125,0.1875,0.0703,0.015600000000000001,0.054700000000000006,0.0391,0.0781,0.015600000000000001,0.0078000000000000005,0.0859,0.0391,0.11720000000000001,0.0703,0.09380000000000001,0.11720000000000001,0.0859,0.0781,0.0234,0.11720000000000001,0.125,0.1484,0.1328,0.10940000000000001,0.11720000000000001
5,0.2109,0.0703,0.25,0.3281,0.0234,0.054700000000000006,0.046900000000000004,0.0703,0.015600000000000001,0.0781,0.09380000000000001,0.09380000000000001,0.10940000000000001,0.11720000000000001,0.0859,0.0859,0.0234,0.21880000000000002,0.10940000000000001,0.1797,0.10160000000000001,0.125,0.046900000000000004,0.1484,0.10160000000000001
6,0.0781,0.3047,0.2031,0.1562,0.1328,0.046900000000000004,0.0391,0.0625,0.0078000000000000005,0.0234,0.125,0.09380000000000001,0.046900000000000004,0.22660000000000002,0.1328,0.10160000000000001,0.1875,0.046900000000000004,0.1953,0.10160000000000001,0.10160000000000001,0.10160000000000001,0.125,0.09380000000000001,0.10160000000000001
7,0.031200000000000002,0.1562,0.2891,0.1484,0.09380000000000001,0.0078000000000000005,0.11720000000000001,0.0781,0.0391,0.054700000000000006,0.1328,0.1562,0.0703,0.1484,0.054700000000000006,0.125,0.2109,0.1641,0.10940000000000001,0.1641,0.09380000000000001,0.1641,0.2031,0.1875,0.1484
8,0.0625,0.44530000000000003,0.5,0.2969,0.3047,0.0391,0.046900000000000004,0.0859,0.054700000000000006,0.0391,0.09380000000000001,0.1797,0.2422,0.11720000000000001,0.10160000000000001,0.1797,0.10940000000000001,0.21880000000000002,0.1562,0.3516,0.10160000000000001,0.125,0.1484,0.1406,0.1406
9,0.21880000000000002,0.3438,0.3281,0.2656,0.10160000000000001,0.046900000000000004,0.11720000000000001,0.0703,0.1406,0.1484,0.125,0.1797,0.2969,0.1562,0.0859,0.125,0.1953,0.22660000000000002,0.125,0.1953,0.21880000000000002,0.1797,0.2031,0.125,0.25780000000000003
10,0.0781,0.39840000000000003,0.4375,0.3516,0.25780000000000003,0.0781,0.11720000000000001,0.1328,0.0781,0.0391,0.2109,0.25,0.1406,0.2891,0.25780000000000003,0.2109,0.27340000000000003,0.1406,0.25780000000000003,0.21880000000000002,0.1875,0.1875,0.1719,0.23440000000000003,0.1953
