ENV_ID,Value_100_Seed_1,Value_100_Seed_10,Value_100_Seed_20,Value_100_Seed_25,Value_100_Seed_42,Value_500_Seed_1,Value_500_Seed_10,Value_500_Seed_20,Value_500_Seed_25,Value_500_Seed_42,Value_1000_Seed_1,Value_1000_Seed_10,Value_1000_Seed_20,Value_1000_Seed_25,Value_1000_Seed_42,Value_2000_Seed_1,Value_2000_Seed_10,Value_2000_Seed_20,Value_2000_Seed_25,Value_2000_Seed_42,Value_5000_Seed_1,Value_5000_Seed_10,Value_5000_Seed_20,Value_5000_Seed_25,Value_5000_Seed_42
0,0.0625,0.0391,0.046900000000000004,0.0234,0.015600000000000001,0.0703,0.054700000000000006,0.031200000000000002,0.0391,0.054700000000000006,0.0859,0.031200000000000002,0.0234,0.046900000000000004,0.0234,0.054700000000000006,0.046900000000000004,0.0391,0.046900000000000004,0.0,0.031200000000000002,0.046900000000000004,0.054700000000000006,0.046900000000000004,0.031200000000000002
1,0.0703,0.0625,0.09380000000000001,0.0625,0.054700000000000006,0.0703,0.0703,0.11720000000000001,0.031200000000000002,0.0703,0.0625,0.0625,0.0391,0.054700000000000006,0.054700000000000006,0.09380000000000001,0.046900000000000004,0.10160000000000001,0.046900000000000004,0.054700000000000006,0.0625,0.0781,0.0781,0.0391,0.0703
2,0.0703,0.11720000000000001,0.046900000000000004,0.0781,0.09380000000000001,0.031200000000000002,0.031200000000000002,0.09380000000000001,0.0859,0.10160000000000001,0.09380000000000001,0.0625,0.0859,0.10940000000000001,0.046900000000000004,0.0703,0.0859,0.0781,0.0859,0.09380000000000001,0.0625,0.0703,0.09380000000000001,0.0859,0.031200000000000002
3,0.09380000000000001,0.1328,0.0625,0.10160000000000001,0.0703,0.11720000000000001,0.0781,0.09380000000000001,0.0859,0.0625,0.11720000000000001,0.09380000000000001,0.10940000000000001,0.10940000000000001,0.0625,0.0859,0.0859,0.125,0.09380000000000001,0.09380000000000001,0.1484,0.0703,0.0781,0.0625,0.0391
4,0.09380000000000001,0.0625,0.11720000000000001,0.0781,0.0703,0.11720000000000001,0.09380000000000001,0.10160000000000001,0.0859,0.11720000000000001,0.0859,0.1328,0.125,0.11720000000000001,0.09380000000000001,0.0781,0.054700000000000006,0.10940000000000001,0.10940000000000001,0.11720000000000001,0.1406,0.0781,0.1328,0.0781,0.10940000000000001
5,0.1641,0.0781,0.11720000000000001,0.09380000000000001,0.09380000000000001,0.0781,0.0781,0.1797,0.11720000000000001,0.0625,0.0859,0.09380000000000001,0.0703,0.125,0.1328,0.0859,0.10160000000000001,0.11720000000000001,0.1641,0.1328,0.1328,0.125,0.0859,0.1719,0.10160000000000001
6,0.1484,0.10160000000000001,0.10160000000000001,0.09380000000000001,0.10160000000000001,0.125,0.1328,0.1406,0.125,0.1641,0.10940000000000001,0.1328,0.1406,0.0859,0.125,0.10940000000000001,0.125,0.1328,0.1484,0.1875,0.125,0.046900000000000004,0.1875,0.10160000000000001,0.10160000000000001
7,0.0781,0.11720000000000001,0.1562,0.10160000000000001,0.1406,0.1328,0.1719,0.2109,0.10940000000000001,0.1484,0.1719,0.11720000000000001,0.1875,0.1641,0.10940000000000001,0.0625,0.10160000000000001,0.1641,0.1328,0.125,0.1953,0.1406,0.1328,0.1484,0.1797
8,0.10940000000000001,0.125,0.1562,0.1406,0.11720000000000001,0.1406,0.1641,0.1562,0.1562,0.1875,0.1406,0.1797,0.1406,0.23440000000000003,0.1328,0.10160000000000001,0.1641,0.1406,0.1328,0.1875,0.1875,0.125,0.1328,0.1875,0.1797
9,0.1562,0.10940000000000001,0.2656,0.125,0.23440000000000003,0.1328,0.1562,0.10160000000000001,0.10940000000000001,0.2031,0.1406,0.125,0.10940000000000001,0.1406,0.2109,0.1562,0.1797,0.1719,0.21880000000000002,0.1328,0.1328,0.1484,0.1641,0.1719,0.1953
10,0.1875,0.1328,0.1406,0.22660000000000002,0.1641,0.1328,0.1797,0.1406,0.1406,0.1797,0.2031,0.1484,0.1484,0.22660000000000002,0.1875,0.1406,0.1875,0.1797,0.125,0.22660000000000002,0.1797,0.1562,0.1406,0.1797,0.22660000000000002
