ENV_ID,Value_10_Seed_1,Value_10_Seed_10,Value_10_Seed_20,Value_10_Seed_25,Value_10_Seed_42,Value_25_Seed_1,Value_25_Seed_10,Value_25_Seed_20,Value_25_Seed_25,Value_25_Seed_42,Value_50_Seed_1,Value_50_Seed_10,Value_50_Seed_20,Value_50_Seed_25,Value_50_Seed_42,Value_100_Seed_1,Value_100_Seed_10,Value_100_Seed_20,Value_100_Seed_25,Value_100_Seed_42,Value_200_Seed_1,Value_200_Seed_10,Value_200_Seed_20,Value_200_Seed_25,Value_200_Seed_42,Value_400_Seed_1,Value_400_Seed_10,Value_400_Seed_20,Value_400_Seed_25,Value_400_Seed_42,Value_800_Seed_1,Value_800_Seed_10,Value_800_Seed_20,Value_800_Seed_25,Value_800_Seed_42,Value_1600_Seed_1,Value_1600_Seed_10,Value_1600_Seed_20,Value_1600_Seed_25,Value_1600_Seed_42
0,0.054700000000000006,0.0391,0.0234,0.046900000000000004,0.0234,0.031200000000000002,0.0625,0.0625,0.054700000000000006,0.0234,0.054700000000000006,0.0625,0.0703,0.054700000000000006,0.0234,0.054700000000000006,0.054700000000000006,0.0234,0.046900000000000004,0.0078000000000000005,0.054700000000000006,0.0625,0.0703,0.10160000000000001,0.0703,0.0391,0.0391,0.0234,0.10160000000000001,0.0703,0.054700000000000006,0.0391,0.0234,0.054700000000000006,0.0234,0.031200000000000002,0.0234,0.0234,0.10160000000000001,0.0703
1,0.0625,0.0703,0.0703,0.054700000000000006,0.054700000000000006,0.09380000000000001,0.0781,0.054700000000000006,0.054700000000000006,0.054700000000000006,0.09380000000000001,0.09380000000000001,0.0703,0.054700000000000006,0.054700000000000006,0.09380000000000001,0.0781,0.10160000000000001,0.046900000000000004,0.031200000000000002,0.046900000000000004,0.0781,0.10160000000000001,0.046900000000000004,0.0625,0.0859,0.0703,0.0703,0.046900000000000004,0.031200000000000002,0.0859,0.0703,0.0859,0.054700000000000006,0.054700000000000006,0.0625,0.0703,0.10160000000000001,0.0703,0.0391
2,0.0781,0.054700000000000006,0.10160000000000001,0.0625,0.0625,0.0781,0.0781,0.09380000000000001,0.0703,0.0781,0.0781,0.0781,0.10160000000000001,0.0703,0.031200000000000002,0.0781,0.054700000000000006,0.09380000000000001,0.0625,0.031200000000000002,0.0781,0.0781,0.0781,0.0703,0.0625,0.0781,0.054700000000000006,0.09380000000000001,0.046900000000000004,0.0625,0.0781,0.0781,0.09380000000000001,0.10940000000000001,0.0781,0.10940000000000001,0.0781,0.0781,0.046900000000000004,0.0781
3,0.0625,0.125,0.0625,0.0859,0.09380000000000001,0.0859,0.125,0.0859,0.1328,0.09380000000000001,0.10940000000000001,0.0859,0.10940000000000001,0.0859,0.0859,0.0625,0.125,0.10940000000000001,0.1328,0.09380000000000001,0.0859,0.125,0.0859,0.0859,0.0859,0.0625,0.09380000000000001,0.10940000000000001,0.1328,0.0859,0.0625,0.125,0.10940000000000001,0.0859,0.0859,0.0625,0.125,0.10940000000000001,0.0703,0.0859
4,0.10940000000000001,0.09380000000000001,0.1328,0.09380000000000001,0.11720000000000001,0.0781,0.10160000000000001,0.09380000000000001,0.10160000000000001,0.10940000000000001,0.10940000000000001,0.10160000000000001,0.1406,0.09380000000000001,0.11720000000000001,0.0781,0.09380000000000001,0.1328,0.10940000000000001,0.0703,0.0781,0.11720000000000001,0.1406,0.1328,0.10940000000000001,0.10940000000000001,0.0859,0.125,0.1328,0.0703,0.10940000000000001,0.10160000000000001,0.09380000000000001,0.1328,0.0781,0.0781,0.0859,0.1328,0.10940000000000001,0.10940000000000001
5,0.1328,0.0703,0.1406,0.11720000000000001,0.1328,0.1328,0.0703,0.1406,0.125,0.0859,0.09380000000000001,0.0703,0.1406,0.11720000000000001,0.125,0.11720000000000001,0.11720000000000001,0.09380000000000001,0.125,0.125,0.09380000000000001,0.1328,0.1406,0.125,0.125,0.11720000000000001,0.0703,0.0859,0.125,0.0859,0.11720000000000001,0.11720000000000001,0.0859,0.09380000000000001,0.1328,0.11720000000000001,0.0703,0.0859,0.125,0.1328
6,0.1406,0.125,0.1953,0.125,0.0781,0.1797,0.1406,0.1953,0.125,0.0781,0.1797,0.125,0.1641,0.1641,0.0781,0.1562,0.125,0.1953,0.1406,0.0781,0.1406,0.125,0.1641,0.1641,0.0781,0.1797,0.1406,0.1953,0.1641,0.0781,0.1797,0.125,0.1641,0.1406,0.0781,0.1406,0.125,0.1641,0.1641,0.1484
7,0.125,0.1328,0.1875,0.1328,0.1562,0.11720000000000001,0.10160000000000001,0.11720000000000001,0.1328,0.0781,0.1328,0.1484,0.1875,0.125,0.1562,0.1328,0.10160000000000001,0.1875,0.1328,0.1328,0.1328,0.10160000000000001,0.09380000000000001,0.11720000000000001,0.0781,0.0859,0.1328,0.1875,0.11720000000000001,0.0781,0.1328,0.10160000000000001,0.09380000000000001,0.1406,0.1562,0.11720000000000001,0.11720000000000001,0.09380000000000001,0.1406,0.0781
8,0.1719,0.1406,0.1328,0.1406,0.1328,0.11720000000000001,0.1406,0.1328,0.1406,0.1562,0.11720000000000001,0.1953,0.1328,0.1875,0.1641,0.11720000000000001,0.1719,0.1328,0.1406,0.1641,0.11720000000000001,0.1953,0.1328,0.1719,0.1641,0.1719,0.1406,0.1953,0.1875,0.1641,0.1719,0.1562,0.1328,0.1406,0.1328,0.1719,0.1562,0.1328,0.1875,0.1328
9,0.1484,0.1719,0.1875,0.1328,0.1719,0.1719,0.10160000000000001,0.1328,0.1719,0.1641,0.1406,0.1719,0.1328,0.125,0.1641,0.1406,0.10160000000000001,0.1875,0.1328,0.1641,0.1484,0.1562,0.1875,0.1719,0.11720000000000001,0.1719,0.1719,0.1406,0.1328,0.11720000000000001,0.1719,0.1719,0.1406,0.1406,0.1641,0.1406,0.10160000000000001,0.1484,0.125,0.11720000000000001
