ENV_ID,Value_4_Seed_1,Value_4_Seed_10,Value_4_Seed_20,Value_4_Seed_25,Value_4_Seed_42,Value_8_Seed_1,Value_8_Seed_10,Value_8_Seed_20,Value_8_Seed_25,Value_8_Seed_42,Value_16_Seed_1,Value_16_Seed_10,Value_16_Seed_20,Value_16_Seed_25,Value_16_Seed_42,Value_32_Seed_1,Value_32_Seed_10,Value_32_Seed_20,Value_32_Seed_25,Value_32_Seed_42,Value_64_Seed_1,Value_64_Seed_10,Value_64_Seed_20,Value_64_Seed_25,Value_64_Seed_42
0,0.7031000000000001,0.4844,0.8125,0.5859,0.5156000000000001,0.375,0.46880000000000005,0.5,0.5312,0.7188,0.4062,0.32030000000000003,0.2812,0.4922,0.44530000000000003,0.09380000000000001,0.46090000000000003,0.3438,0.2031,0.1719,0.10160000000000001,0.10940000000000001,0.1875,0.2109,0.0625
1,0.8203,0.375,0.9844,0.4375,0.9531000000000001,0.9141,0.7344,0.6953,0.9375,0.7422000000000001,0.8594,0.8828,0.4766,0.7969,0.7734000000000001,0.5,0.625,0.39840000000000003,0.46880000000000005,0.6875,0.4531,0.46090000000000003,0.38280000000000003,0.5781000000000001,0.4375
2,0.6328,0.9297000000000001,0.6406000000000001,0.8828,1.0,0.6328,0.33590000000000003,0.6719,0.9062,0.9453,0.9844,0.9766,0.8984000000000001,0.8438,0.8047000000000001,0.9531000000000001,0.6406000000000001,0.5469,0.8828,0.5391,0.6484,0.5859,0.4375,0.7188,0.5547000000000001
3,0.9609000000000001,0.6328,1.0,0.9609000000000001,1.0,0.9766,0.875,0.9062,0.9844,0.625,0.6719,1.0,0.9141,0.8047000000000001,0.9844,0.8828,0.7578,0.7188,0.9766,0.7266,0.7422000000000001,0.6719,0.8828,0.75,0.8828
4,0.9766,0.9531000000000001,0.9844,0.7188,1.0,0.9688,0.9688,0.7188,1.0,0.5859,0.9844,0.8594,0.8516,0.9062,0.9531000000000001,0.7109000000000001,0.8828,0.9453,0.7188,0.875,0.8438,0.9141,0.7578,0.8984000000000001,0.875
5,0.9844,0.9375,0.9844,0.875,1.0,0.7109000000000001,0.9609000000000001,0.8281000000000001,0.7969,1.0,0.9922000000000001,0.9531000000000001,1.0,0.75,0.9688,0.9219,0.7734000000000001,0.9297000000000001,0.6406000000000001,0.8984000000000001,0.8594,0.875,0.75,0.9141,0.7578
6,0.8516,0.9609000000000001,0.8281000000000001,0.8984000000000001,0.9062,0.9609000000000001,0.9922000000000001,0.9375,0.625,1.0,0.9922000000000001,1.0,0.9375,0.8984000000000001,0.9922000000000001,0.8672000000000001,1.0,0.9688,0.9062,0.9766,0.8672000000000001,0.7344,0.9141,0.9375,0.9609000000000001
7,0.8984000000000001,0.9609000000000001,1.0,0.9766,0.7266,0.9844,0.9922000000000001,0.9453,0.9219,0.8828,0.9922000000000001,0.9219,0.9766,0.9531000000000001,0.9688,1.0,0.9453,0.9609000000000001,0.9844,0.7344,0.9844,0.8984000000000001,0.9453,0.8594,0.9688
8,0.8984000000000001,0.9922000000000001,0.7422000000000001,1.0,0.9766,0.9609000000000001,1.0,0.7188,1.0,0.9766,0.9844,0.9141,0.9844,0.9766,0.9531000000000001,0.9844,0.9688,1.0,0.9922000000000001,0.9141,0.9375,0.9141,0.8438,0.9453,0.9375
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,0.9844,1.0,0.9844,1.0,1.0,0.9922000000000001,1.0,0.9766,1.0,1.0,1.0,1.0
