ENV_ID,Value_1000_Seed_1,Value_1000_Seed_10,Value_1000_Seed_20,Value_1000_Seed_25,Value_1000_Seed_42,Value_5000_Seed_1,Value_5000_Seed_10,Value_5000_Seed_20,Value_5000_Seed_25,Value_5000_Seed_42,Value_10000_Seed_1,Value_10000_Seed_10,Value_10000_Seed_20,Value_10000_Seed_25,Value_10000_Seed_42,Value_25000_Seed_1,Value_25000_Seed_10,Value_25000_Seed_20,Value_25000_Seed_25,Value_25000_Seed_42,Value_50000_Seed_1,Value_50000_Seed_10,Value_50000_Seed_20,Value_50000_Seed_25,Value_50000_Seed_42
0,0.11720000000000001,0.046900000000000004,0.031200000000000002,0.015600000000000001,0.1719,0.10940000000000001,0.10940000000000001,0.046900000000000004,0.1328,0.0781,0.125,0.11720000000000001,0.1562,0.031200000000000002,0.1484,0.44530000000000003,0.1484,0.4375,0.1328,0.3672,0.4531,0.21880000000000002,0.3672,0.4062,0.5234
1,0.0625,0.11720000000000001,0.0703,0.1328,0.3047,0.21880000000000002,0.1719,0.2969,0.2031,0.3125,0.3438,0.2031,0.5156000000000001,0.2969,0.3594,0.5859,0.6797000000000001,0.6641,0.5781000000000001,0.6172000000000001,0.7734000000000001,0.8125,0.7891,0.7109000000000001,0.7344
2,0.3281,0.3281,0.2031,0.1875,0.2656,0.4922,0.4531,0.5625,0.5703,0.4531,0.46880000000000005,0.5234,0.6094,0.6328,0.6172000000000001,0.6562,0.8906000000000001,0.8125,0.8359000000000001,0.7344,0.5547000000000001,0.8906000000000001,0.8438,0.8672000000000001,0.8125
3,0.3906,0.1875,0.0703,0.5078,0.33590000000000003,0.5469,0.46090000000000003,0.5234,0.4062,0.6094,0.8125,0.44530000000000003,0.8281000000000001,0.875,0.625,0.5703,0.7344,0.8359000000000001,0.9062,0.9688,0.9609000000000001,0.7578,0.8906000000000001,0.8047000000000001,0.9219
4,0.6406000000000001,0.3438,0.3047,0.4531,0.75,0.7031000000000001,0.6875,0.8281000000000001,0.7109000000000001,0.7109000000000001,0.875,0.8672000000000001,0.7266,0.7734000000000001,0.9609000000000001,0.9062,0.8672000000000001,0.9766,0.8594,0.8359000000000001,0.8906000000000001,0.8828,0.9531000000000001,0.8828,0.9844
5,0.3672,0.7109000000000001,0.5469,0.8594,0.5391,0.7812,0.8125,0.7188,0.8047000000000001,0.7578,0.7969,0.9219,0.6641,0.8984000000000001,0.8828,0.9609000000000001,0.8281000000000001,0.875,0.9297000000000001,0.9609000000000001,0.9844,0.6797000000000001,0.8828,0.9531000000000001,0.9922000000000001
6,0.5391,0.6016,0.4766,0.6094,0.4375,0.8984000000000001,0.8594,0.75,0.7109000000000001,0.7109000000000001,0.9609000000000001,0.9531000000000001,0.8125,0.9062,0.9219,0.8984000000000001,0.8672000000000001,0.9531000000000001,0.9922000000000001,0.9844,0.9766,0.9609000000000001,0.9766,0.9922000000000001,0.9766
7,0.46880000000000005,0.7969,0.6719,0.5469,0.6094,0.8203,0.8125,0.9375,0.9453,0.7734000000000001,0.9062,0.9062,0.8984000000000001,0.9375,0.9688,0.9531000000000001,0.8125,0.9531000000000001,0.9453,0.8672000000000001,0.9688,0.9844,0.9688,1.0,0.8516
8,0.7734000000000001,0.8906000000000001,0.6328,0.8594,0.7422000000000001,0.9766,0.8672000000000001,0.9531000000000001,0.75,0.8672000000000001,0.9922000000000001,0.9375,0.8906000000000001,0.7969,0.8984000000000001,0.9688,0.9609000000000001,0.9297000000000001,0.9609000000000001,0.9609000000000001,0.9688,0.8984000000000001,0.9766,0.9688,0.9375
9,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,0.9844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
