ENV_ID,Value_0.01_Seed_1,Value_0.01_Seed_10,Value_0.01_Seed_20,Value_0.01_Seed_25,Value_0.01_Seed_42,Value_0.1_Seed_1,Value_0.1_Seed_10,Value_0.1_Seed_20,Value_0.1_Seed_25,Value_0.1_Seed_42,Value_0.2_Seed_1,Value_0.2_Seed_10,Value_0.2_Seed_20,Value_0.2_Seed_25,Value_0.2_Seed_42,Value_0.3_Seed_1,Value_0.3_Seed_10,Value_0.3_Seed_20,Value_0.3_Seed_25,Value_0.3_Seed_42
0,0.5156000000000001,0.4922,0.3125,0.46880000000000005,0.44530000000000003,0.25780000000000003,0.39840000000000003,0.1641,0.44530000000000003,0.3438,0.5234,0.375,0.39840000000000003,0.5391,0.3516,0.3516,0.2422,0.5,0.3672,0.3125
1,0.875,0.7812,0.7812,0.7422000000000001,0.75,0.7344,0.8516,0.5781000000000001,0.6094,0.7109000000000001,0.6641,0.5703,0.9062,0.8359000000000001,0.7344,0.7969,0.7656000000000001,0.75,0.5625,0.7422000000000001
2,0.9062,0.9375,0.8828,0.7969,0.8516,0.8281000000000001,0.8516,0.8047000000000001,0.9062,0.9062,0.9375,0.4297,0.7812,0.8906000000000001,0.8828,0.9219,0.9531000000000001,0.8125,0.4844,0.9766
3,0.8438,0.9062,0.8828,0.9688,1.0,0.8984000000000001,0.9062,0.9141,0.9375,0.9844,0.8984000000000001,0.875,0.8594,0.7969,0.9844,1.0,0.9062,0.8125,0.9141,0.9922000000000001
4,1.0,0.9688,1.0,0.9375,0.9531000000000001,0.9531000000000001,0.8984000000000001,0.9375,0.9297000000000001,0.8984000000000001,0.9531000000000001,0.8984000000000001,0.9375,0.9453,1.0,0.9453,0.9688,0.9375,0.9844,0.9922000000000001
5,0.9531000000000001,0.9219,0.9609000000000001,0.9844,0.9531000000000001,0.9766,1.0,0.7344,0.8359000000000001,0.9922000000000001,1.0,0.9766,0.7422000000000001,0.9922000000000001,0.9219,0.9844,0.9688,0.9531000000000001,0.9844,0.9453
6,0.9844,0.9922000000000001,0.9922000000000001,1.0,0.9609000000000001,0.9688,0.9375,0.9609000000000001,1.0,0.8203,0.8672000000000001,0.9922000000000001,0.9453,0.9922000000000001,0.9375,0.9531000000000001,0.9766,1.0,0.9609000000000001,0.9609000000000001
7,1.0,0.9922000000000001,0.9609000000000001,0.9922000000000001,0.9609000000000001,0.9844,0.9688,0.8906000000000001,1.0,0.9766,0.9609000000000001,0.9609000000000001,0.9766,0.9844,0.9922000000000001,0.9766,0.9844,0.9531000000000001,0.9844,0.9688
8,0.9609000000000001,1.0,0.9688,0.8906000000000001,1.0,0.9453,0.9922000000000001,0.8984000000000001,0.9844,0.9688,0.9922000000000001,0.9609000000000001,0.9844,0.9688,0.9922000000000001,0.9688,0.9766,0.9688,0.9141,0.9688
9,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,0.9766,1.0,1.0,0.9766,0.9922000000000001,1.0,0.9531000000000001,1.0,1.0,1.0,0.9531000000000001
