ENV_ID,Value_0.5_Seed_1,Value_0.5_Seed_10,Value_0.5_Seed_20,Value_0.5_Seed_25,Value_0.5_Seed_42,Value_0.6_Seed_1,Value_0.6_Seed_10,Value_0.6_Seed_20,Value_0.6_Seed_25,Value_0.6_Seed_42,Value_0.65_Seed_1,Value_0.65_Seed_10,Value_0.65_Seed_20,Value_0.65_Seed_25,Value_0.65_Seed_42,Value_0.75_Seed_1,Value_0.75_Seed_10,Value_0.75_Seed_20,Value_0.75_Seed_25,Value_0.75_Seed_42,Value_0.85_Seed_1,Value_0.85_Seed_10,Value_0.85_Seed_20,Value_0.85_Seed_25,Value_0.85_Seed_42,Value_0.9_Seed_1,Value_0.9_Seed_10,Value_0.9_Seed_20,Value_0.9_Seed_25,Value_0.9_Seed_42,Value_0.95_Seed_1,Value_0.95_Seed_10,Value_0.95_Seed_20,Value_0.95_Seed_25,Value_0.95_Seed_42,Value_0.999_Seed_1,Value_0.999_Seed_10,Value_0.999_Seed_20,Value_0.999_Seed_25,Value_0.999_Seed_42
0,0.9688,0.9062,0.8594,0.9297000000000001,0.9844,0.9062,0.9688,0.9375,0.9688,0.9375,0.9219,0.7734000000000001,0.8438,0.9062,0.9531000000000001,0.8281000000000001,0.7734000000000001,0.9219,0.8516,0.875,0.5938,0.6016,0.6016,0.625,0.4844,0.3516,0.2422,0.5,0.3672,0.3125,0.015600000000000001,0.0781,0.031200000000000002,0.0703,0.0234,0.0,0.0078000000000000005,0.0,0.015600000000000001,0.0
1,0.9766,0.9531000000000001,1.0,0.9688,0.9844,0.9844,0.9531000000000001,1.0,1.0,0.9688,0.9375,0.9766,0.9922000000000001,1.0,0.9609000000000001,0.9609000000000001,0.9609000000000001,0.9297000000000001,0.9609000000000001,0.9531000000000001,0.875,0.8438,0.9062,0.8906000000000001,0.8359000000000001,0.7969,0.7656000000000001,0.75,0.5625,0.7422000000000001,0.4844,0.046900000000000004,0.1719,0.2891,0.1562,0.0234,0.0,0.0,0.015600000000000001,0.015600000000000001
2,1.0,1.0,1.0,1.0,1.0,0.9609000000000001,0.9844,0.9922000000000001,0.9922000000000001,0.9844,0.9766,1.0,1.0,0.9844,0.9688,0.9922000000000001,0.9531000000000001,1.0,0.9219,0.9922000000000001,0.7734000000000001,0.8594,0.9141,0.8359000000000001,0.8594,0.9219,0.9531000000000001,0.8125,0.4844,0.9766,0.2656,0.3594,0.5078,0.3672,0.2969,0.0,0.015600000000000001,0.0,0.0,0.0
3,1.0,1.0,0.9922000000000001,0.9922000000000001,0.9531000000000001,1.0,0.9844,0.9609000000000001,1.0,0.9844,1.0,0.9922000000000001,0.9531000000000001,0.9844,0.9844,0.9922000000000001,0.9922000000000001,1.0,0.9844,0.9922000000000001,0.9922000000000001,0.8516,0.9688,0.9688,0.9609000000000001,1.0,0.9062,0.8125,0.9141,0.9922000000000001,0.7734000000000001,0.7344,0.6094,0.3516,0.44530000000000003,0.015600000000000001,0.0,0.0078000000000000005,0.0,0.0078000000000000005
4,1.0,1.0,0.9922000000000001,0.9844,1.0,1.0,1.0,0.9922000000000001,0.9922000000000001,0.9922000000000001,1.0,1.0,0.9844,0.9922000000000001,0.9922000000000001,1.0,0.9922000000000001,0.9922000000000001,1.0,0.9922000000000001,0.9609000000000001,0.9531000000000001,0.9609000000000001,0.8203,0.9922000000000001,0.9453,0.9688,0.9375,0.9844,0.9922000000000001,0.6172000000000001,0.23440000000000003,0.5391,0.4141,0.25,0.0,0.0078000000000000005,0.0,0.015600000000000001,0.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,0.9922000000000001,0.9922000000000001,0.9766,0.9922000000000001,1.0,1.0,0.9766,0.9844,1.0,1.0,0.9297000000000001,0.9688,1.0,0.9766,0.9922000000000001,0.9844,0.9688,0.9531000000000001,0.9844,0.9453,0.6719,0.8984000000000001,0.8203,0.6406000000000001,0.7578,0.031200000000000002,0.0,0.0,0.015600000000000001,0.0
6,1.0,0.9922000000000001,1.0,1.0,0.9922000000000001,0.9453,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,0.9844,0.8984000000000001,1.0,0.9844,1.0,0.9531000000000001,0.9766,1.0,0.9609000000000001,0.9609000000000001,0.8281000000000001,0.5625,0.7812,0.6562,0.9219,0.0,0.0,0.0,0.0,0.0
7,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,0.9844,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,0.9844,1.0,0.9922000000000001,0.9922000000000001,0.9766,0.9844,0.9531000000000001,0.9844,0.9688,0.8516,0.8516,0.7266,0.8672000000000001,0.8828,0.015600000000000001,0.0,0.0234,0.0,0.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,0.9844,1.0,0.9922000000000001,1.0,0.9688,1.0,0.9922000000000001,1.0,1.0,1.0,0.9844,1.0,1.0,0.9844,0.9688,0.9766,0.9688,0.9141,0.9688,0.8594,0.7656000000000001,0.5938,0.8594,0.8281000000000001,0.0078000000000000005,0.0,0.015600000000000001,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9531000000000001,1.0,1.0,1.0,0.9531000000000001,0.9922000000000001,1.0,0.9922000000000001,1.0,0.9922000000000001,0.0,0.0,0.0,0.0,0.0
