ENV_ID,Value_0.5_Seed_1,Value_0.5_Seed_10,Value_0.5_Seed_20,Value_0.5_Seed_25,Value_0.5_Seed_42,Value_0.6_Seed_1,Value_0.6_Seed_10,Value_0.6_Seed_20,Value_0.6_Seed_25,Value_0.6_Seed_42,Value_0.7_Seed_1,Value_0.7_Seed_10,Value_0.7_Seed_20,Value_0.7_Seed_25,Value_0.7_Seed_42,Value_0.8_Seed_1,Value_0.8_Seed_10,Value_0.8_Seed_20,Value_0.8_Seed_25,Value_0.8_Seed_42,Value_0.9_Seed_1,Value_0.9_Seed_10,Value_0.9_Seed_20,Value_0.9_Seed_25,Value_0.9_Seed_42,Value_1.0_Seed_1,Value_1.0_Seed_10,Value_1.0_Seed_20,Value_1.0_Seed_25,Value_1.0_Seed_42
0,0.5156000000000001,0.2656,0.5938,0.38280000000000003,0.6797000000000001,0.4531,0.21880000000000002,0.3672,0.4062,0.5234,0.38280000000000003,0.25780000000000003,0.3047,0.5938,0.2422,0.3438,0.3047,0.3516,0.3438,0.39840000000000003,0.39840000000000003,0.4297,0.44530000000000003,0.46090000000000003,0.3125,0.4766,0.4844,0.3594,0.27340000000000003,0.3125
1,0.7188,0.7109000000000001,0.6875,0.6328,0.8672000000000001,0.7734000000000001,0.8125,0.7891,0.7109000000000001,0.7344,0.8203,0.6172000000000001,0.5234,0.7578,0.6875,0.75,0.7031000000000001,0.8047000000000001,0.7812,0.6328,0.8281000000000001,0.6953,0.8203,0.9453,0.6406000000000001,0.7656000000000001,0.7969,0.6875,0.7031000000000001,0.5703
2,0.7656000000000001,0.9062,0.8984000000000001,0.9688,0.7969,0.5547000000000001,0.8906000000000001,0.8438,0.8672000000000001,0.8125,0.8203,0.9219,0.8594,0.8438,0.9688,0.8359000000000001,0.7031000000000001,0.9531000000000001,0.7578,0.8906000000000001,0.8359000000000001,0.7969,0.9062,0.9297000000000001,0.7891,0.8125,0.9141,0.8828,0.9297000000000001,0.8828
3,0.9531000000000001,0.9609000000000001,0.6875,0.6875,0.9688,0.9609000000000001,0.7578,0.8906000000000001,0.8047000000000001,0.9219,0.9688,0.9219,0.8594,0.9297000000000001,0.9219,0.9922000000000001,0.8516,0.9766,0.9297000000000001,0.7422000000000001,0.9844,0.9141,0.8594,0.9531000000000001,0.8984000000000001,0.7812,0.9062,1.0,0.9844,0.7422000000000001
4,0.8906000000000001,0.9375,0.9375,0.9688,0.8984000000000001,0.8906000000000001,0.8828,0.9531000000000001,0.8828,0.9844,0.9688,0.9531000000000001,0.8125,0.8984000000000001,0.9922000000000001,0.9844,0.9766,0.9609000000000001,0.9766,0.9844,0.7969,0.9609000000000001,0.9531000000000001,0.7969,0.9375,0.9844,0.9766,0.9844,0.8594,0.9922000000000001
5,0.9922000000000001,0.9609000000000001,0.9297000000000001,0.9609000000000001,0.9922000000000001,0.9844,0.6797000000000001,0.8828,0.9531000000000001,0.9922000000000001,0.8828,0.8203,0.9297000000000001,0.9609000000000001,0.9844,0.9922000000000001,0.9844,0.8828,0.9922000000000001,0.8594,1.0,0.9219,0.9062,0.9297000000000001,0.9531000000000001,0.9219,0.6484,0.9609000000000001,0.8828,0.9219
6,1.0,0.7891,0.9922000000000001,0.9844,0.9688,0.9766,0.9609000000000001,0.9766,0.9922000000000001,0.9766,0.9609000000000001,0.9609000000000001,0.9219,0.9766,0.9375,0.9141,0.9766,0.9922000000000001,0.9922000000000001,0.9766,0.9688,1.0,0.9922000000000001,0.9688,0.9453,0.9844,0.9531000000000001,0.9922000000000001,0.9688,0.8828
7,0.9922000000000001,1.0,0.9922000000000001,1.0,0.9609000000000001,0.9688,0.9844,0.9688,1.0,0.8516,0.9219,0.9531000000000001,0.9688,0.9922000000000001,0.9844,0.9922000000000001,0.9688,1.0,1.0,1.0,1.0,0.9375,0.6484,0.9844,0.9766,1.0,0.9531000000000001,0.8438,0.9531000000000001,0.9609000000000001
8,0.9609000000000001,1.0,1.0,0.8203,0.9844,0.9688,0.8984000000000001,0.9766,0.9688,0.9375,0.9688,0.9922000000000001,0.9453,0.9844,0.9844,0.9531000000000001,0.9766,0.9844,0.9609000000000001,0.9766,1.0,0.9609000000000001,0.9766,0.9844,0.9609000000000001,0.9766,1.0,0.9609000000000001,0.9922000000000001,0.9766
9,1.0,1.0,1.0,0.9844,0.9688,1.0,1.0,1.0,1.0,1.0,0.9922000000000001,1.0,1.0,1.0,1.0,0.9766,1.0,1.0,1.0,0.9688,1.0,1.0,1.0,0.9531000000000001,1.0,1.0,1.0,1.0,1.0,0.8672000000000001
