ENV_ID,Value_0.1_Seed_1,Value_0.1_Seed_10,Value_0.1_Seed_20,Value_0.1_Seed_25,Value_0.1_Seed_42,Value_0.2_Seed_1,Value_0.2_Seed_10,Value_0.2_Seed_20,Value_0.2_Seed_25,Value_0.2_Seed_42,Value_0.3_Seed_1,Value_0.3_Seed_10,Value_0.3_Seed_20,Value_0.3_Seed_25,Value_0.3_Seed_42,Value_0.4_Seed_1,Value_0.4_Seed_10,Value_0.4_Seed_20,Value_0.4_Seed_25,Value_0.4_Seed_42,Value_0.5_Seed_1,Value_0.5_Seed_10,Value_0.5_Seed_20,Value_0.5_Seed_25,Value_0.5_Seed_42,Value_0.6_Seed_1,Value_0.6_Seed_10,Value_0.6_Seed_20,Value_0.6_Seed_25,Value_0.6_Seed_42,Value_0.7_Seed_1,Value_0.7_Seed_10,Value_0.7_Seed_20,Value_0.7_Seed_25,Value_0.7_Seed_42,Value_0.8_Seed_1,Value_0.8_Seed_10,Value_0.8_Seed_20,Value_0.8_Seed_25,Value_0.8_Seed_42,Value_0.9_Seed_1,Value_0.9_Seed_10,Value_0.9_Seed_20,Value_0.9_Seed_25,Value_0.9_Seed_42,Value_1.0_Seed_1,Value_1.0_Seed_10,Value_1.0_Seed_20,Value_1.0_Seed_25,Value_1.0_Seed_42
0,0.054700000000000006,0.0625,0.0625,0.10160000000000001,0.0234,0.0391,0.0391,0.0234,0.10160000000000001,0.0078000000000000005,0.054700000000000006,0.054700000000000006,0.0625,0.0625,0.0078000000000000005,0.031200000000000002,0.0391,0.0625,0.046900000000000004,0.0234,0.054700000000000006,0.0234,0.0234,0.0703,0.0234,0.054700000000000006,0.0234,0.0625,0.046900000000000004,0.0078000000000000005,0.031200000000000002,0.0625,0.0234,0.054700000000000006,0.0703,0.031200000000000002,0.0625,0.0703,0.10160000000000001,0.0703,0.031200000000000002,0.054700000000000006,0.0703,0.0625,0.0703,0.0391,0.0234,0.0625,0.10160000000000001,0.0078000000000000005
1,0.031200000000000002,0.2891,0.0234,0.0625,0.0078000000000000005,0.031200000000000002,0.09380000000000001,0.0625,0.054700000000000006,0.0234,0.054700000000000006,0.0625,0.0234,0.10160000000000001,0.0234,0.031200000000000002,0.0625,0.0234,0.046900000000000004,0.0703,0.0391,0.0625,0.0703,0.046900000000000004,0.0234,0.054700000000000006,0.0625,0.0625,0.054700000000000006,0.0703,0.0391,0.0391,0.0703,0.054700000000000006,0.0703,0.031200000000000002,0.0391,0.0234,0.0625,0.0234,0.031200000000000002,0.0625,0.0234,0.10160000000000001,0.0703,0.2812,0.0234,0.0234,0.046900000000000004,0.0078000000000000005
2,0.054700000000000006,0.3047,0.0234,0.0625,0.0703,0.031200000000000002,0.0391,0.0234,0.0703,0.0078000000000000005,0.031200000000000002,0.054700000000000006,0.0703,0.10160000000000001,0.0703,0.0391,0.2031,0.0234,0.0625,0.0078000000000000005,0.0391,0.0625,0.0703,0.2969,0.0078000000000000005,0.031200000000000002,0.0391,0.0859,0.054700000000000006,0.0234,0.054700000000000006,0.054700000000000006,0.0234,0.054700000000000006,0.10160000000000001,0.0391,0.0234,0.0625,0.054700000000000006,0.0234,0.031200000000000002,0.0391,0.0703,0.054700000000000006,0.0703,0.0391,0.0625,0.0234,0.054700000000000006,0.0078000000000000005
3,0.031200000000000002,0.054700000000000006,0.0234,0.046900000000000004,0.0703,0.054700000000000006,0.0234,0.0859,0.10160000000000001,0.0703,0.0391,0.054700000000000006,0.0234,0.054700000000000006,0.0703,0.0391,0.0391,0.1719,0.0703,0.0703,0.054700000000000006,0.11720000000000001,0.0234,0.0625,0.0703,0.031200000000000002,0.11720000000000001,0.0234,0.054700000000000006,0.0078000000000000005,0.031200000000000002,0.11720000000000001,0.0625,0.0625,0.0234,0.031200000000000002,0.054700000000000006,0.0703,0.054700000000000006,0.0703,0.031200000000000002,0.0234,0.0625,0.054700000000000006,0.0234,0.031200000000000002,0.0625,0.0234,0.046900000000000004,0.0078000000000000005
4,0.031200000000000002,0.054700000000000006,0.0234,0.046900000000000004,0.0703,0.031200000000000002,0.0234,0.11720000000000001,0.10160000000000001,0.0234,0.0391,0.09380000000000001,0.0625,0.0703,0.0703,0.0391,0.0625,0.11720000000000001,0.0703,0.0703,0.0391,0.09380000000000001,0.11720000000000001,0.10160000000000001,0.0703,0.054700000000000006,0.2891,0.11720000000000001,0.10160000000000001,0.0234,0.031200000000000002,0.0234,0.0234,0.10160000000000001,0.0234,0.054700000000000006,0.054700000000000006,0.0859,0.054700000000000006,0.0703,0.054700000000000006,0.0625,0.11720000000000001,0.0703,0.0078000000000000005,0.054700000000000006,0.0234,0.0859,0.0625,0.0234
5,0.031200000000000002,0.09380000000000001,0.0625,0.0703,0.0703,0.054700000000000006,0.0625,0.3594,0.054700000000000006,0.0703,0.031200000000000002,0.09380000000000001,0.0234,0.054700000000000006,0.0078000000000000005,0.054700000000000006,0.0391,0.0234,0.2891,0.0703,0.054700000000000006,0.0234,0.0859,0.046900000000000004,0.0703,0.0391,0.054700000000000006,0.0859,0.054700000000000006,0.0234,0.054700000000000006,0.0625,0.0703,0.0625,0.0703,0.0391,0.3047,0.0234,0.046900000000000004,0.0703,0.2812,0.11720000000000001,0.11720000000000001,0.0703,0.0234,0.10940000000000001,0.09380000000000001,0.0859,0.10160000000000001,0.0703
6,0.10940000000000001,0.0391,0.22660000000000002,0.054700000000000006,0.0234,0.2656,0.054700000000000006,0.0859,0.10160000000000001,0.0078000000000000005,0.0391,0.11720000000000001,0.0859,0.25,0.0078000000000000005,0.031200000000000002,0.0234,0.0234,0.0703,0.0078000000000000005,0.10940000000000001,0.09380000000000001,0.11720000000000001,0.10160000000000001,0.0703,0.10940000000000001,0.0234,0.11720000000000001,0.0703,0.10160000000000001,0.0391,0.054700000000000006,0.0234,0.25,0.0234,0.10940000000000001,0.11720000000000001,0.11720000000000001,0.10160000000000001,0.0703,0.031200000000000002,0.0391,0.0234,0.10160000000000001,0.0703,0.125,0.0234,0.25780000000000003,0.0625,0.0234
7,0.054700000000000006,0.27340000000000003,0.0234,0.046900000000000004,0.10160000000000001,0.0391,0.0234,0.22660000000000002,0.0625,0.0703,0.054700000000000006,0.0234,0.0625,0.10160000000000001,0.10160000000000001,0.054700000000000006,0.0391,0.0625,0.10160000000000001,0.10160000000000001,0.0391,0.054700000000000006,0.0859,0.054700000000000006,0.10160000000000001,0.054700000000000006,0.054700000000000006,0.0625,0.046900000000000004,0.0078000000000000005,0.054700000000000006,0.0391,0.11720000000000001,0.046900000000000004,0.0703,0.031200000000000002,0.0625,0.11720000000000001,0.10160000000000001,0.0078000000000000005,0.0391,0.0625,0.0234,0.046900000000000004,0.0703,0.031200000000000002,0.054700000000000006,0.0234,0.10160000000000001,0.0703
8,0.125,0.11720000000000001,0.3594,0.0625,0.33590000000000003,0.2656,0.054700000000000006,0.0625,0.0703,0.0703,0.2656,0.09380000000000001,0.11720000000000001,0.10160000000000001,0.10160000000000001,0.125,0.11720000000000001,0.11720000000000001,0.33590000000000003,0.10160000000000001,0.2656,0.2969,0.22660000000000002,0.0625,0.10160000000000001,0.125,0.054700000000000006,0.22660000000000002,0.10160000000000001,0.10160000000000001,0.031200000000000002,0.0391,0.0234,0.0234,0.10160000000000001,0.125,0.09380000000000001,0.11720000000000001,0.046900000000000004,0.0781,0.054700000000000006,0.09380000000000001,0.0625,0.054700000000000006,0.0234,0.054700000000000006,0.11720000000000001,0.0625,0.046900000000000004,0.0703
9,0.0391,0.0234,0.0625,0.0703,0.10160000000000001,0.054700000000000006,0.0234,0.0859,0.054700000000000006,0.0703,0.0391,0.09380000000000001,0.0625,0.054700000000000006,0.33590000000000003,0.054700000000000006,0.0625,0.0859,0.10160000000000001,0.10160000000000001,0.054700000000000006,0.2969,0.11720000000000001,0.0625,0.0234,0.054700000000000006,0.0391,0.11720000000000001,0.0703,0.0234,0.054700000000000006,0.0391,0.0234,0.046900000000000004,0.0703,0.031200000000000002,0.09380000000000001,0.0625,0.0625,0.0703,0.054700000000000006,0.0625,0.0625,0.10160000000000001,0.0078000000000000005,0.0391,0.0625,0.0625,0.0,0.0703
